name,cycle,acc_noGM,acc_GM
Hu pH 9 | KNiHCF,48,0.6675,0.925
Hu pH 9 | KNiHCF,60,0.8175,0.9325
Hu pH 9 | KNiHCF,72,0.9075,0.9425
Hu pH 9 | KNiHCF,84,0.99,0.9775
Hu pH 9 | KNiHCF,96,0.835,0.86
Hu pH 9 | KNiHCF,100,0.5975,0.57
Hu pH 9 | NaCoHCF,12,0.0775,1.0
Hu pH 9 | NaCoHCF,24,0.2,0.665
Hu pH 9 | NaCoHCF,36,0.0075,1.0
Hu pH 9 | NaCoHCF,48,0.12,0.9275
Hu pH 9 | NaCoHCF,60,0.445,0.945
Hu pH 9 | NaCoHCF,72,0.74,0.965
Hu pH 9 | NaCoHCF,84,0.745,0.9375
Hu pH 9 | NaCoHCF,96,0.4575,0.5275
Hu pH 9 | NaCoHCF,100,0.295,1.0
Hu pH 9 | NaFeHCF,12,0.0,1.0
Hu pH 9 | NaFeHCF,24,0.0,1.0
Hu pH 9 | NaFeHCF,36,0.0,1.0
Hu pH 9 | NaFeHCF,48,0.0,1.0
Hu pH 9 | NaFeHCF,60,0.0,1.0
Hu pH 9 | NaFeHCF,72,0.0,1.0
Hu pH 9 | NaFeHCF,84,0.0,1.0
Hu pH 9 | NaFeHCF,96,0.0,1.0
Hu pH 9 | NaFeHCF,100,0.0,0.525
Hu pH 9 | NaMnHCF,12,0.3775,1.0
Hu pH 9 | NaMnHCF,24,0.435,0.9
Hu pH 9 | NaMnHCF,36,0.515,0.915
Hu pH 9 | NaMnHCF,48,0.5725,0.9125
Hu pH 9 | NaMnHCF,60,0.4025,0.875
Hu pH 9 | NaMnHCF,72,0.2575,0.7325
Hu pH 9 | NaMnHCF,84,0.1975,0.635
Hu pH 9 | NaMnHCF,96,0.5175,0.83
Hu pH 9 | NaMnHCF,100,0.7275,0.9
Hu pH 9 | NaNiHCF,12,0.0625,1.0
Hu pH 9 | NaNiHCF,24,0.0125,0.665
Hu pH 9 | NaNiHCF,36,0.0,1.0
Hu pH 9 | NaNiHCF,48,0.065,0.925
Hu pH 9 | NaNiHCF,60,0.9175,0.995
Hu pH 9 | NaNiHCF,72,1.0,1.0
Hu pH 9 | NaNiHCF,84,1.0,1.0
Hu pH 9 | NaNiHCF,96,0.4,1.0
Hu pH 9 | NaNiHCF,100,0.0675,1.0
KCl | KCuHCF,12,0.2325,1.0
KCl | KCuHCF,24,0.1375,0.7125
KCl | KCuHCF,36,0.2925,0.7525
KCl | KCuHCF,48,0.405,0.825
KCl | KCuHCF,60,0.2675,0.7925
KCl | KCuHCF,72,0.2375,0.6575
KCl | KCuHCF,84,0.2625,0.62
KCl | KCuHCF,96,0.6125,0.785
KCl | KCuHCF,100,0.6775,0.7475
KCl | KFeHCF,12,0.03,1.0
KCl | KFeHCF,24,0.3225,0.865
KCl | KFeHCF,36,0.365,0.5575
KCl | KFeHCF,48,0.1175,1.0
KCl | KFeHCF,60,0.0925,0.81
KCl | KFeHCF,72,0.3775,0.9075
KCl | KFeHCF,84,0.505,0.7175
KCl | KFeHCF,96,0.165,1.0
KCl | KFeHCF,100,0.0975,1.0
KCl | KMnHCF,12,0.0,1.0
KCl | KMnHCF,24,0.0,1.0
KCl | KMnHCF,36,0.0,1.0
KCl | KMnHCF,48,0.0,1.0
KCl | KMnHCF,60,0.0,1.0
KCl | KMnHCF,72,0.0,1.0
KCl | KMnHCF,84,0.0,1.0
KCl | KMnHCF,96,0.0,0.0
KCl | KMnHCF,100,0.0,0.0
KCl | KNiHCF,12,0.3425,1.0
KCl | KNiHCF,24,0.345,0.865
KCl | KNiHCF,36,0.3725,0.8675
KCl | KNiHCF,48,0.3775,0.87
KCl | KNiHCF,60,0.3775,0.85
KCl | KNiHCF,72,0.38,0.7825
KCl | KNiHCF,84,0.325,0.57
KCl | KNiHCF,96,0.065,1.0
KCl | KNiHCF,100,0.04,0.525
KCl | NaCoHCF,12,0.16,1.0
KCl | NaCoHCF,24,0.2325,0.8975
KCl | NaCoHCF,36,0.3775,0.9425
KCl | NaCoHCF,48,0.515,0.9625
KCl | NaCoHCF,60,0.64,0.9825
KCl | NaCoHCF,72,0.795,0.98
KCl | NaCoHCF,84,0.9025,0.985
KCl | NaCoHCF,96,0.6325,0.5575
KCl | NaCoHCF,100,0.4775,1.0
KCl | NaFeHCF,12,0.0,1.0
KCl | NaFeHCF,24,0.0,1.0
KCl | NaFeHCF,36,0.0,0.68
KCl | NaFeHCF,48,0.0,0.5775
KCl | NaFeHCF,60,0.0,0.545
KCl | NaFeHCF,72,0.0,0.535
KCl | NaFeHCF,84,0.0,1.0
KCl | NaFeHCF,96,0.0,1.0
KCl | NaFeHCF,100,0.0,0.5375
KCl | NaMnHCF,12,0.0,1.0
KCl | NaMnHCF,24,0.0,1.0
KCl | NaMnHCF,36,0.0,0.6275
KCl | NaMnHCF,48,0.0,1.0
KCl | NaMnHCF,60,0.0,0.74
KCl | NaMnHCF,72,0.0,0.6975
KCl | NaMnHCF,84,0.0,1.0
KCl | NaMnHCF,96,0.0,1.0
KCl | NaMnHCF,100,0.0,0.555
KCl | NaNiHCF,12,0.065,1.0
KCl | NaNiHCF,24,0.305,0.93
KCl | NaNiHCF,36,0.775,0.9775
KCl | NaNiHCF,48,0.2125,0.8875
KCl | NaNiHCF,60,0.11,0.705
KCl | NaNiHCF,72,0.2825,0.745
KCl | NaNiHCF,84,0.2975,0.5125
KCl | NaNiHCF,96,0.0075,1.0
KCl | NaNiHCF,100,0.0,1.0
KHCO3 | KCuHCF,12,0.0,1.0
KHCO3 | KCuHCF,24,0.0,1.0
KHCO3 | KCuHCF,36,0.0,1.0
KHCO3 | KCuHCF,48,0.0,1.0
KHCO3 | KCuHCF,60,0.0,1.0
KHCO3 | KCuHCF,72,0.0,1.0
KHCO3 | KCuHCF,84,0.0,1.0
KHCO3 | KCuHCF,96,0.0,1.0
KHCO3 | KCuHCF,100,0.0,1.0
KHCO3 | KFeHCF,12,0.0,1.0
KHCO3 | KFeHCF,24,0.0,1.0
KHCO3 | KFeHCF,36,0.0,1.0
KHCO3 | KFeHCF,48,0.0,1.0
KHCO3 | KFeHCF,60,0.0,1.0
KHCO3 | KFeHCF,72,0.0,1.0
KHCO3 | KFeHCF,84,0.0,1.0
KHCO3 | KFeHCF,96,0.0,1.0
KHCO3 | KFeHCF,100,0.0,1.0
KHCO3 | KMnHCF,12,0.0,1.0
KHCO3 | KMnHCF,24,0.0,1.0
KHCO3 | KMnHCF,36,0.0,0.785
KHCO3 | KMnHCF,48,0.0,0.775
KHCO3 | KMnHCF,60,0.0,0.8
KHCO3 | KMnHCF,72,0.0,0.815
KHCO3 | KMnHCF,84,0.0,0.68
KHCO3 | KMnHCF,96,0.0,1.0
KHCO3 | KMnHCF,100,0.0,0.7425
KHCO3 | KNiHCF,12,0.4425,1.0
KHCO3 | KNiHCF,24,0.46,0.9425
KHCO3 | KNiHCF,36,0.6375,0.96
KHCO3 | KNiHCF,48,0.72,0.9725
KHCO3 | KNiHCF,60,0.77,0.975
KHCO3 | KNiHCF,72,0.9225,0.9875
KHCO3 | KNiHCF,84,0.9875,1.0
KHCO3 | KNiHCF,96,0.9625,0.975
KHCO3 | KNiHCF,100,0.74,0.7375
KHCO3 | NaCoHCF,12,0.0,1.0
KHCO3 | NaCoHCF,24,0.0,1.0
KHCO3 | NaCoHCF,36,0.0,0.56
KHCO3 | NaCoHCF,48,0.0,0.55
KHCO3 | NaCoHCF,60,0.0,0.57
KHCO3 | NaCoHCF,72,0.0,0.6075
KHCO3 | NaCoHCF,84,0.0,0.5125
KHCO3 | NaCoHCF,96,0.0,1.0
KHCO3 | NaCoHCF,100,0.0,0.665
KHCO3 | NaFeHCF,12,0.0,1.0
KHCO3 | NaFeHCF,24,0.0,1.0
KHCO3 | NaFeHCF,36,0.0,0.7125
KHCO3 | NaFeHCF,48,0.0,0.55
KHCO3 | NaFeHCF,60,0.0,0.535
KHCO3 | NaFeHCF,72,0.0,1.0
KHCO3 | NaFeHCF,84,0.0,0.7525
KHCO3 | NaFeHCF,96,0.0,1.0
KHCO3 | NaFeHCF,100,0.0,0.5425
KHCO3 | NaMnHCF,12,0.4475,1.0
KHCO3 | NaMnHCF,24,0.53,0.9375
KHCO3 | NaMnHCF,36,0.4925,0.94
KHCO3 | NaMnHCF,48,0.43,0.935
KHCO3 | NaMnHCF,60,0.2975,0.8775
KHCO3 | NaMnHCF,72,0.6675,0.9025
KHCO3 | NaMnHCF,84,0.93,0.98
KHCO3 | NaMnHCF,96,0.99,0.9825
KHCO3 | NaMnHCF,100,0.8925,0.8025
KHCO3 | NaNiHCF,12,0.0,1.0
KHCO3 | NaNiHCF,24,0.0,1.0
KHCO3 | NaNiHCF,36,0.0,0.7775
KHCO3 | NaNiHCF,48,0.0,0.7775
KHCO3 | NaNiHCF,60,0.0,0.81
KHCO3 | NaNiHCF,72,0.0,0.8325
KHCO3 | NaNiHCF,84,0.0,0.815
KHCO3 | NaNiHCF,96,0.0,0.525
KHCO3 | NaNiHCF,100,0.005,1.0
NH4Cl | KCuHCF,12,0.02,1.0
NH4Cl | KCuHCF,24,0.0125,0.5925
NH4Cl | KCuHCF,36,0.005,1.0
NH4Cl | KCuHCF,48,0.0,0.69
NH4Cl | KCuHCF,60,0.0025,0.5725
NH4Cl | KCuHCF,72,0.0025,1.0
NH4Cl | KCuHCF,84,0.0,0.6425
NH4Cl | KCuHCF,96,0.0,1.0
NH4Cl | KCuHCF,100,0.0,0.55
NH4Cl | KFeHCF,12,0.0,1.0
NH4Cl | KFeHCF,24,0.0,1.0
NH4Cl | KFeHCF,36,0.0,0.79
NH4Cl | KFeHCF,48,0.0,0.8575
NH4Cl | KFeHCF,60,0.0,0.8675
NH4Cl | KFeHCF,72,0.0,0.87
NH4Cl | KFeHCF,84,0.0,0.845
NH4Cl | KFeHCF,96,0.0,0.535
NH4Cl | KFeHCF,100,0.0,1.0
NH4Cl | KMnHCF,12,0.0,1.0
NH4Cl | KMnHCF,24,0.0,1.0
NH4Cl | KMnHCF,36,0.0,0.5775
NH4Cl | KMnHCF,48,0.0,0.5125
NH4Cl | KMnHCF,60,0.0,1.0
NH4Cl | KMnHCF,72,0.0,0.8875
NH4Cl | KMnHCF,84,0.0,0.765
NH4Cl | KMnHCF,96,0.0,1.0
NH4Cl | KMnHCF,100,0.0,0.615
NH4Cl | KNiHCF,12,0.0025,1.0
NH4Cl | KNiHCF,24,0.0,1.0
NH4Cl | KNiHCF,36,0.0,1.0
NH4Cl | KNiHCF,48,0.0,1.0
NH4Cl | KNiHCF,60,0.0,1.0
NH4Cl | KNiHCF,72,0.0,1.0
NH4Cl | KNiHCF,84,0.0,1.0
NH4Cl | KNiHCF,96,0.0,0.0
NH4Cl | KNiHCF,100,0.0,0.0
NH4Cl | NaCoHCF,12,0.365,1.0
NH4Cl | NaCoHCF,24,0.445,0.93
NH4Cl | NaCoHCF,36,0.5825,0.96
NH4Cl | NaCoHCF,48,0.695,0.9625
NH4Cl | NaCoHCF,60,0.7575,0.965
NH4Cl | NaCoHCF,72,0.965,0.995
NH4Cl | NaCoHCF,84,0.9825,0.9975
NH4Cl | NaCoHCF,96,0.96,0.97
NH4Cl | NaCoHCF,100,0.7875,0.7475
NH4Cl | NaFeHCF,12,0.405,1.0
NH4Cl | NaFeHCF,24,0.5025,0.9525
NH4Cl | NaFeHCF,36,0.6375,0.9575
NH4Cl | NaFeHCF,48,0.75,0.9775
NH4Cl | NaFeHCF,60,0.88,0.98
NH4Cl | NaFeHCF,72,0.92,0.985
NH4Cl | NaFeHCF,84,0.7825,0.875
NH4Cl | NaFeHCF,96,0.0725,1.0
NH4Cl | NaFeHCF,100,0.025,1.0
NH4Cl | NaMnHCF,12,0.0,1.0
NH4Cl | NaMnHCF,24,0.0,1.0
NH4Cl | NaMnHCF,36,0.0,0.945
NH4Cl | NaMnHCF,48,0.0,0.9475
NH4Cl | NaMnHCF,60,0.0,0.965
NH4Cl | NaMnHCF,72,0.0,0.9625
NH4Cl | NaMnHCF,84,0.0,0.8625
NH4Cl | NaMnHCF,96,0.0,1.0
NH4Cl | NaMnHCF,100,0.0,1.0
NH4Cl | NaNiHCF,12,0.0625,1.0
NH4Cl | NaNiHCF,24,0.0,1.0
NH4Cl | NaNiHCF,36,0.0,0.5575
NH4Cl | NaNiHCF,48,0.0,0.5725
NH4Cl | NaNiHCF,60,0.0,0.6
NH4Cl | NaNiHCF,72,0.0,0.6625
NH4Cl | NaNiHCF,84,0.005,1.0
NH4Cl | NaNiHCF,96,0.0,1.0
NH4Cl | NaNiHCF,100,0.0,1.0
NaCl | KCuHCF,12,0.2175,1.0
NaCl | KCuHCF,24,0.245,0.54
NaCl | KCuHCF,36,0.1875,1.0
NaCl | KCuHCF,48,0.21,0.8875
NaCl | KCuHCF,60,0.29,0.8725
NaCl | KCuHCF,72,0.5175,0.895
NaCl | KCuHCF,84,0.6075,0.83
NaCl | KCuHCF,96,0.3625,1.0
NaCl | KCuHCF,100,0.2525,0.6
NaCl | KFeHCF,12,0.07,1.0
NaCl | KFeHCF,24,0.4,0.63
NaCl | KFeHCF,36,0.0775,1.0
NaCl | KFeHCF,48,0.0375,0.825
NaCl | KFeHCF,60,0.0525,0.775
NaCl | KFeHCF,72,0.23,0.77
NaCl | KFeHCF,84,0.3375,0.595
NaCl | KFeHCF,96,0.165,1.0
NaCl | KFeHCF,100,0.085,0.565
NaCl | KMnHCF,12,0.0925,1.0
NaCl | KMnHCF,24,0.335,0.72
NaCl | KMnHCF,36,0.0,1.0
NaCl | KMnHCF,48,0.0,0.76
NaCl | KMnHCF,60,0.0,0.6025
NaCl | KMnHCF,72,0.0,0.5825
NaCl | KMnHCF,84,0.025,1.0
NaCl | KMnHCF,96,0.0225,1.0
NaCl | KMnHCF,100,0.0075,1.0
NaCl | KNiHCF,12,0.075,1.0
NaCl | KNiHCF,24,0.08,0.73
NaCl | KNiHCF,36,0.09,0.6825
NaCl | KNiHCF,48,0.155,0.7675
NaCl | KNiHCF,60,0.2975,0.79
NaCl | KNiHCF,72,0.38,0.7925
NaCl | KNiHCF,84,0.355,0.7025
NaCl | KNiHCF,96,0.3175,0.5325
NaCl | KNiHCF,100,0.31,1.0
NaCl | NaCoHCF,12,0.4325,1.0
NaCl | NaCoHCF,24,0.545,0.9375
NaCl | NaCoHCF,36,0.575,0.945
NaCl | NaCoHCF,48,0.575,0.9525
NaCl | NaCoHCF,60,0.7475,0.9525
NaCl | NaCoHCF,72,0.8175,0.9675
NaCl | NaCoHCF,84,0.8575,0.9775
NaCl | NaCoHCF,96,0.9675,0.965
NaCl | NaCoHCF,100,0.77,0.76
NaCl | NaFeHCF,12,0.0125,1.0
NaCl | NaFeHCF,24,0.1525,0.7275
NaCl | NaFeHCF,36,0.8175,0.6175
NaCl | NaFeHCF,48,0.7725,0.625
NaCl | NaFeHCF,60,0.715,0.8075
NaCl | NaFeHCF,72,0.9325,0.9725
NaCl | NaFeHCF,84,0.9075,0.9675
NaCl | NaFeHCF,96,0.02,1.0
NaCl | NaFeHCF,100,0.0,1.0
NaCl | NaMnHCF,12,0.0075,1.0
NaCl | NaMnHCF,24,0.0,1.0
NaCl | NaMnHCF,36,0.0,1.0
NaCl | NaMnHCF,48,0.0,1.0
NaCl | NaMnHCF,60,0.0,0.7725
NaCl | NaMnHCF,72,0.0,0.725
NaCl | NaMnHCF,84,0.0,1.0
