trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90,cov90
KHCO3 | KNiHCF,SPI+CBU (ours),28,35.55591164,43.80739415,20.70420438,66.91058392,100
KHCO3 | KNiHCF,SPI+CBU (ours),42,21.55591164,20,0,48.32755804,100
KHCO3 | KNiHCF,SPI+CBU (ours),56,7.555911643,7.30693781,0,33.01290792,100
KHCO3 | KNiHCF,SPI+CBU (ours),63,0.555911643,1,0,24.78143485,100
KHCO3 | KNiHCF,SPI+TBU,14,49.55591164,62.22337122,,,100
KHCO3 | KNiHCF,SPI+TBU,28,35.55591164,43.80739415,,,100
KHCO3 | KNiHCF,SPI+TBU,42,21.55591164,18.83758736,,,100
KHCO3 | KNiHCF,SPI+TBU,56,7.555911643,6.888526565,,,100
KHCO3 | KNiHCF,SPI+TBU,63,0.555911643,0.30693781,,,100
KHCO3 | KNiHCF,Lin,14,49.55591164,64,,,100
KHCO3 | KNiHCF,Lin,28,35.55591164,49.75490855,,,100
KHCO3 | KNiHCF,Lin,42,21.55591164,25.20015785,,,100
KHCO3 | KNiHCF,Lin,56,7.555911643,9.441123049,,,100
KHCO3 | KNiHCF,Lin,63,0.555911643,2.441123049,,,100
KHCO3 | NaMnHCF,SPI+CBU (ours),14,59.3442082,58,28.33160255,87.66839745,67
KHCO3 | NaMnHCF,SPI+CBU (ours),28,45.3442082,47.71959206,24.44433233,70.99485179,67
KHCO3 | NaMnHCF,SPI+CBU (ours),42,31.3442082,38.91244237,26.02387025,51.80101449,67
KHCO3 | NaMnHCF,SPI+CBU (ours),56,17.3442082,24.89512798,16.00658889,33.78366706,67
KHCO3 | NaMnHCF,SPI+CBU (ours),70,3.344208196,10.20519951,0,23.77349565,67
KHCO3 | NaMnHCF,SPI+CBU (ours),73,0.344208196,3.251137908,0,21.89152297,67
KHCO3 | NaMnHCF,SPI+TBU,14,59.3442082,58.28514459,,,67
KHCO3 | NaMnHCF,SPI+TBU,28,45.3442082,48.86525106,,,67
KHCO3 | NaMnHCF,SPI+TBU,42,31.3442082,47.18640875,,,67
KHCO3 | NaMnHCF,SPI+TBU,56,17.3442082,38.12100587,,,67
KHCO3 | NaMnHCF,SPI+TBU,70,3.344208196,14,,,67
KHCO3 | NaMnHCF,SPI+TBU,73,0.344208196,8.449238152,,,67
KHCO3 | NaMnHCF,Lin,14,59.3442082,60.72200055,,,67
KHCO3 | NaMnHCF,Lin,28,45.3442082,57,,,67
KHCO3 | NaMnHCF,Lin,42,31.3442082,52,,,67
KHCO3 | NaMnHCF,Lin,56,17.3442082,40.88760224,,,67
KHCO3 | NaMnHCF,Lin,70,3.344208196,18.78213039,,,67
KHCO3 | NaMnHCF,Lin,73,0.344208196,12.88674132,,,67
NH4Cl | NaCoHCF,SPI+CBU (ours),14,56.32535835,60.13263047,30.46423302,89.80102793,100
NH4Cl | NaCoHCF,SPI+CBU (ours),28,42.32535835,43.80739415,15.80920794,71.80558036,100
NH4Cl | NaCoHCF,SPI+CBU (ours),42,28.32535835,30,6.662739831,53.33726017,100
NH4Cl | NaCoHCF,SPI+CBU (ours),56,14.32535835,21.56217155,6.839454143,36.28488896,100
NH4Cl | NaCoHCF,SPI+CBU (ours),70,0.325358353,2.719142505,0,23.31690782,100
NH4Cl | NaCoHCF,SPI+TBU,14,56.32535835,386,,,100
NH4Cl | NaCoHCF,SPI+TBU,28,42.32535835,386,,,100
NH4Cl | NaCoHCF,SPI+TBU,42,28.32535835,82.25436697,,,100
NH4Cl | NaCoHCF,SPI+TBU,56,14.32535835,39.50020919,,,100
NH4Cl | NaCoHCF,SPI+TBU,70,0.325358353,8.792991534,,,100
NH4Cl | NaCoHCF,Lin,14,56.32535835,137,,,100
NH4Cl | NaCoHCF,Lin,28,42.32535835,137,,,100
NH4Cl | NaCoHCF,Lin,42,28.32535835,214.5119125,,,100
NH4Cl | NaCoHCF,Lin,56,14.32535835,117.4579402,,,100
NH4Cl | NaCoHCF,Lin,70,0.325358353,30,,,100
NaCl | NaCoHCF,SPI+CBU (ours),14,43.46605503,58.76607361,32.6440125,84.88813471,100
NaCl | NaCoHCF,SPI+CBU (ours),28,29.46605503,32.83758736,4.25200359,61.42317112,100
NaCl | NaCoHCF,SPI+CBU (ours),42,15.46605503,17.63927026,0,45.40886078,100
NaCl | NaCoHCF,SPI+CBU (ours),56,1.466055033,4.435496661,0,30.7517972,100
NaCl | NaCoHCF,SPI+CBU (ours),57,0.466055033,3.036063481,0,28.32632213,100
