trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KFeHCF,SPI+CBU (ours),100,0,7.816276008,0.0,28.57206983
Hu pH 7 | KFeHCF,SPI+TBU,12,88,97.25490487,,
Hu pH 7 | KFeHCF,SPI+TBU,24,76,57.0,,
Hu pH 7 | KFeHCF,SPI+TBU,36,64,36.94280101,,
Hu pH 7 | KFeHCF,SPI+TBU,48,52,24.0,,
Hu pH 7 | KFeHCF,SPI+TBU,60,40,16.82642004,,
Hu pH 7 | KFeHCF,SPI+TBU,72,28,15.0,,
Hu pH 7 | KFeHCF,SPI+TBU,84,16,10.54166298,,
Hu pH 7 | KFeHCF,SPI+TBU,96,4,0.0,,
Hu pH 7 | KFeHCF,SPI+TBU,100,0,0.0,,
Hu pH 7 | KFeHCF,Lin,12,88,129.936413,,
Hu pH 7 | KFeHCF,Lin,24,76,55.5297047,,
Hu pH 7 | KFeHCF,Lin,36,64,24.30859101,,
Hu pH 7 | KFeHCF,Lin,48,52,8.767050346,,
Hu pH 7 | KFeHCF,Lin,60,40,0.832249373,,
Hu pH 7 | KFeHCF,Lin,72,28,0.0,,
Hu pH 7 | KFeHCF,Lin,84,16,0.0,,
Hu pH 7 | KFeHCF,Lin,96,4,0.0,,
Hu pH 7 | KFeHCF,Lin,100,0,0.0,,
Hu pH 7 | KFeHCF,Log-Bayes,12,88,97.18877775,,
Hu pH 7 | KFeHCF,Log-Bayes,24,76,49.21169816,,
Hu pH 7 | KFeHCF,Log-Bayes,36,64,30.68157547,,
Hu pH 7 | KFeHCF,Log-Bayes,48,52,19.49640421,,
Hu pH 7 | KFeHCF,Log-Bayes,60,40,11.0,,
Hu pH 7 | KFeHCF,Log-Bayes,72,28,3.599835758,,
Hu pH 7 | KFeHCF,Log-Bayes,84,16,-4.0,,
Hu pH 7 | KFeHCF,Log-Bayes,96,4,-12.0,,
Hu pH 7 | KFeHCF,Log-Bayes,100,0,-15.0,,
Hu pH 7 | KMnHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 7 | KMnHCF,SPI+CBU (ours),24,76,81.0,37.63228039,124.3677196
Hu pH 7 | KMnHCF,SPI+CBU (ours),36,64,69.0,25.63228039,112.3677196
Hu pH 7 | KMnHCF,SPI+CBU (ours),48,52,44.13488037,7.398347,80.87141374
Hu pH 7 | KMnHCF,SPI+CBU (ours),60,40,33.32441039,0.57358629,66.07523449
