trajectory,method,cycle,actual_retention,pred_retention
Hu pH 7 | KMnHCF,SPI+TBU,60,50.369622,50.75199576
Hu pH 7 | KMnHCF,SPI+TBU,72,49.252244,53.09449831
Hu pH 7 | KMnHCF,SPI+TBU,84,47.937052,53.57588016
Hu pH 7 | KMnHCF,SPI+TBU,96,46.828484,52.78841213
Hu pH 7 | KMnHCF,SPI+TBU,100,46.576892,50.59597755
Hu pH 7 | KMnHCF,Lin,12,56.489582,65.14900849
Hu pH 7 | KMnHCF,Lin,24,52.54233,66.57279066
Hu pH 7 | KMnHCF,Lin,36,52.053532,49.62417659
Hu pH 7 | KMnHCF,Lin,48,51.53442,42.10123417
Hu pH 7 | KMnHCF,Lin,60,50.369622,39.88240197
Hu pH 7 | KMnHCF,Lin,72,49.252244,39.68200471
Hu pH 7 | KMnHCF,Lin,84,47.937052,39.89513978
Hu pH 7 | KMnHCF,Lin,96,46.828484,39.84045801
Hu pH 7 | KMnHCF,Lin,100,46.576892,41.44781552
Hu pH 7 | KMnHCF,Log-Bayes,12,56.489582,67.17925669
Hu pH 7 | KMnHCF,Log-Bayes,24,52.54233,42.09474789
Hu pH 7 | KMnHCF,Log-Bayes,36,52.053532,38.95875086
Hu pH 7 | KMnHCF,Log-Bayes,48,51.53442,41.28746355
Hu pH 7 | KMnHCF,Log-Bayes,60,50.369622,42.76695625
Hu pH 7 | KMnHCF,Log-Bayes,72,49.252244,43.50399745
Hu pH 7 | KMnHCF,Log-Bayes,84,47.937052,43.78275748
Hu pH 7 | KMnHCF,Log-Bayes,96,46.828484,43.6233643
Hu pH 7 | KMnHCF,Log-Bayes,100,46.576892,44.0092898
Hu pH 7 | KNiHCF,SPI+CBU (ours),12,97.089022,66.00431661
Hu pH 7 | KNiHCF,SPI+CBU (ours),24,92.202456,91.33348442
Hu pH 7 | KNiHCF,SPI+CBU (ours),36,88.116802,88.35055901
Hu pH 7 | KNiHCF,SPI+CBU (ours),48,84.384694,83.33022908
Hu pH 7 | KNiHCF,SPI+CBU (ours),60,79.94906,78.87652752
Hu pH 7 | KNiHCF,SPI+CBU (ours),72,74.9637,74.69123144
Hu pH 7 | KNiHCF,SPI+CBU (ours),84,69.478382,70.1153675
Hu pH 7 | KNiHCF,SPI+CBU (ours),96,64.988508,65.22724825
Hu pH 7 | KNiHCF,SPI+CBU (ours),100,63.050316,63.617604
Hu pH 7 | KNiHCF,SPI+TBU,12,97.089022,66.00431661
Hu pH 7 | KNiHCF,SPI+TBU,24,92.202456,92.16974559
Hu pH 7 | KNiHCF,SPI+TBU,36,88.116802,89.42416582
Hu pH 7 | KNiHCF,SPI+TBU,48,84.384694,84.30452914
Hu pH 7 | KNiHCF,SPI+TBU,60,79.94906,80.05262255
Hu pH 7 | KNiHCF,SPI+TBU,72,74.9637,76.12803327
Hu pH 7 | KNiHCF,SPI+TBU,84,69.478382,71.38033672
