trajectory,method,cycle,actual_retention,pred_retention
Hu pH 9 | KMnHCF,SPI+TBU,48,71.04206,68.82200157
Hu pH 9 | KMnHCF,SPI+TBU,60,68.925908,65.72311353
Hu pH 9 | KMnHCF,SPI+TBU,72,67.070054,64.31026703
Hu pH 9 | KMnHCF,SPI+TBU,84,65.684792,63.40435783
Hu pH 9 | KMnHCF,SPI+TBU,96,65.66187,62.6488348
Hu pH 9 | KMnHCF,SPI+TBU,100,65.542838,63.41124305
Hu pH 9 | KMnHCF,Lin,12,87.529366,64.71227214
Hu pH 9 | KMnHCF,Lin,24,79.057106,87.65682898
Hu pH 9 | KMnHCF,Lin,36,73.837702,77.234364
Hu pH 9 | KMnHCF,Lin,48,71.04206,68.62909294
Hu pH 9 | KMnHCF,Lin,60,68.925908,62.87145914
Hu pH 9 | KMnHCF,Lin,72,67.070054,59.67990601
Hu pH 9 | KMnHCF,Lin,84,65.684792,57.74269419
Hu pH 9 | KMnHCF,Lin,96,65.66187,56.42699164
Hu pH 9 | KMnHCF,Lin,100,65.542838,58.32529175
Hu pH 9 | KMnHCF,Log-Bayes,12,87.529366,97.62503652
Hu pH 9 | KMnHCF,Log-Bayes,24,79.057106,86.49552565
Hu pH 9 | KMnHCF,Log-Bayes,36,73.837702,76.52818121
Hu pH 9 | KMnHCF,Log-Bayes,48,71.04206,71.91269614
Hu pH 9 | KMnHCF,Log-Bayes,60,68.925908,68.86054851
Hu pH 9 | KMnHCF,Log-Bayes,72,67.070054,66.77518791
Hu pH 9 | KMnHCF,Log-Bayes,84,65.684792,65.12991353
Hu pH 9 | KMnHCF,Log-Bayes,96,65.66187,63.75773038
Hu pH 9 | KMnHCF,Log-Bayes,100,65.542838,63.64411173
Hu pH 9 | KNiHCF,SPI+CBU (ours),12,90.65811,66.13115544
Hu pH 9 | KNiHCF,SPI+CBU (ours),24,83.771186,84.53271878
Hu pH 9 | KNiHCF,SPI+CBU (ours),36,78.459338,79.45978808
Hu pH 9 | KNiHCF,SPI+CBU (ours),48,75.421518,74.48973717
Hu pH 9 | KNiHCF,SPI+CBU (ours),60,71.05041,70.26673254
Hu pH 9 | KNiHCF,SPI+CBU (ours),72,66.99526,66.22909213
Hu pH 9 | KNiHCF,SPI+CBU (ours),84,62.250804,62.6387887
Hu pH 9 | KNiHCF,SPI+CBU (ours),96,58.515008,58.57636317
Hu pH 9 | KNiHCF,SPI+CBU (ours),100,57.322062,57.58920097
Hu pH 9 | KNiHCF,SPI+TBU,12,90.65811,66.13115544
Hu pH 9 | KNiHCF,SPI+TBU,24,83.771186,85.10734837
Hu pH 9 | KNiHCF,SPI+TBU,36,78.459338,80.01725391
Hu pH 9 | KNiHCF,SPI+TBU,48,75.421518,74.92201492
Hu pH 9 | KNiHCF,SPI+TBU,60,71.05041,70.99364642
Hu pH 9 | KNiHCF,SPI+TBU,72,66.99526,67.43737069
Hu pH 9 | KNiHCF,SPI+TBU,84,62.250804,63.8399217
Hu pH 9 | KNiHCF,SPI+TBU,96,58.515008,59.35416786
Hu pH 9 | KNiHCF,SPI+TBU,100,57.322062,57.60798112
Hu pH 9 | KNiHCF,Lin,12,90.65811,64.632119
Hu pH 9 | KNiHCF,Lin,24,83.771186,87.27212339
Hu pH 9 | KNiHCF,Lin,36,78.459338,80.74110388
Hu pH 9 | KNiHCF,Lin,48,75.421518,74.17682765
Hu pH 9 | KNiHCF,Lin,60,71.05041,69.05636501
Hu pH 9 | KNiHCF,Lin,72,66.99526,64.89507645
Hu pH 9 | KNiHCF,Lin,84,62.250804,61.08019028
Hu pH 9 | KNiHCF,Lin,96,58.515008,56.79771786
Hu pH 9 | KNiHCF,Lin,100,57.322062,55.77784939
Hu pH 9 | KNiHCF,Log-Bayes,12,90.65811,92.37498903
Hu pH 9 | KNiHCF,Log-Bayes,24,83.771186,88.13064659
Hu pH 9 | KNiHCF,Log-Bayes,36,78.459338,82.8604896
Hu pH 9 | KNiHCF,Log-Bayes,48,75.421518,78.48016669
Hu pH 9 | KNiHCF,Log-Bayes,60,71.05041,75.14766126
Hu pH 9 | KNiHCF,Log-Bayes,72,66.99526,72.15858249
Hu pH 9 | KNiHCF,Log-Bayes,84,62.250804,69.24821499
Hu pH 9 | KNiHCF,Log-Bayes,96,58.515008,65.99378341
Hu pH 9 | KNiHCF,Log-Bayes,100,57.322062,63.79336788
Hu pH 9 | NaCoHCF,SPI+CBU (ours),12,84.776128,66.42858302
Hu pH 9 | NaCoHCF,SPI+CBU (ours),24,54.28382,85.76717638
Hu pH 9 | NaCoHCF,SPI+CBU (ours),36,50.224812,58.98950598
Hu pH 9 | NaCoHCF,SPI+CBU (ours),48,49.934382,50.18201096
Hu pH 9 | NaCoHCF,SPI+CBU (ours),60,45.830596,45.24629829
Hu pH 9 | NaCoHCF,SPI+CBU (ours),72,40.678472,41.00042955
Hu pH 9 | NaCoHCF,SPI+CBU (ours),84,39.603404,37.15273332
Hu pH 9 | NaCoHCF,SPI+CBU (ours),96,38.206074,34.19504572
Hu pH 9 | NaCoHCF,SPI+CBU (ours),100,36.861864,36.15493311
Hu pH 9 | NaCoHCF,SPI+TBU,12,84.776128,66.42858302
Hu pH 9 | NaCoHCF,SPI+TBU,24,54.28382,90.41619479
Hu pH 9 | NaCoHCF,SPI+TBU,36,50.224812,54.33482251
Hu pH 9 | NaCoHCF,SPI+TBU,48,49.934382,41.2508081
Hu pH 9 | NaCoHCF,SPI+TBU,60,45.830596,39.93311123
Hu pH 9 | NaCoHCF,SPI+TBU,72,40.678472,39.47711329
Hu pH 9 | NaCoHCF,SPI+TBU,84,39.603404,37.54218024
Hu pH 9 | NaCoHCF,SPI+TBU,96,38.206074,35.45994461
Hu pH 9 | NaCoHCF,SPI+TBU,100,36.861864,36.00224563
Hu pH 9 | NaCoHCF,Lin,12,84.776128,64.95563198
Hu pH 9 | NaCoHCF,Lin,24,54.28382,85.83638851
Hu pH 9 | NaCoHCF,Lin,36,50.224812,62.69945257
Hu pH 9 | NaCoHCF,Lin,48,49.934382,44.19798712
Hu pH 9 | NaCoHCF,Lin,60,45.830596,35.96124721
Hu pH 9 | NaCoHCF,Lin,72,40.678472,31.37287845
Hu pH 9 | NaCoHCF,Lin,84,39.603404,27.65817546
Hu pH 9 | NaCoHCF,Lin,96,38.206074,24.77774879
Hu pH 9 | NaCoHCF,Lin,100,36.861864,27.42669723
Hu pH 9 | NaCoHCF,Log-Bayes,12,84.776128,106.1318856
Hu pH 9 | NaCoHCF,Log-Bayes,24,54.28382,90.52484045
Hu pH 9 | NaCoHCF,Log-Bayes,36,50.224812,57.87331577
Hu pH 9 | NaCoHCF,Log-Bayes,48,49.934382,46.21172674
Hu pH 9 | NaCoHCF,Log-Bayes,60,45.830596,43.19830918
Hu pH 9 | NaCoHCF,Log-Bayes,72,40.678472,40.75085106
Hu pH 9 | NaCoHCF,Log-Bayes,84,39.603404,38.15716764
Hu pH 9 | NaCoHCF,Log-Bayes,96,38.206074,35.75438829
Hu pH 9 | NaCoHCF,Log-Bayes,100,36.861864,35.48166414
Hu pH 9 | NaFeHCF,SPI+CBU (ours),12,23.231594,67.21400867
Hu pH 9 | NaFeHCF,SPI+CBU (ours),24,12.315368,3.158254323
Hu pH 9 | NaFeHCF,SPI+CBU (ours),36,7.881026,3.539121009
Hu pH 9 | NaFeHCF,SPI+CBU (ours),48,7.45862,8.542496133
Hu pH 9 | NaFeHCF,SPI+CBU (ours),60,7.324864,9.84795955
Hu pH 9 | NaFeHCF,SPI+CBU (ours),72,7.249752,8.482000321
Hu pH 9 | NaFeHCF,SPI+CBU (ours),84,7.208852,7.833570714
Hu pH 9 | NaFeHCF,SPI+CBU (ours),96,7.18112,6.884010007
Hu pH 9 | NaFeHCF,SPI+CBU (ours),100,7.164896,7.332889977
Hu pH 9 | NaFeHCF,SPI+TBU,12,23.231594,67.21400867
Hu pH 9 | NaFeHCF,SPI+TBU,24,12.315368,3.158254323
Hu pH 9 | NaFeHCF,SPI+TBU,36,7.881026,-0.661489962
Hu pH 9 | NaFeHCF,SPI+TBU,48,7.45862,2.571894652
Hu pH 9 | NaFeHCF,SPI+TBU,60,7.324864,7.447133441
Hu pH 9 | NaFeHCF,SPI+TBU,72,7.249752,11.54139852
Hu pH 9 | NaFeHCF,SPI+TBU,84,7.208852,13.94829233
Hu pH 9 | NaFeHCF,SPI+TBU,96,7.18112,15.14607207
Hu pH 9 | NaFeHCF,SPI+TBU,100,7.164896,13.02127771
Hu pH 9 | NaFeHCF,Lin,12,23.231594,65.77185068
Hu pH 9 | NaFeHCF,Lin,24,12.315368,44.19253892
Hu pH 9 | NaFeHCF,Lin,36,7.881026,15.1986061
Hu pH 9 | NaFeHCF,Lin,48,7.45862,-2.493215409
Hu pH 9 | NaFeHCF,Lin,60,7.324864,-10.31501304
Hu pH 9 | NaFeHCF,Lin,72,7.249752,-11.94426058
Hu pH 9 | NaFeHCF,Lin,84,7.208852,-11.14810388
Hu pH 9 | NaFeHCF,Lin,96,7.18112,-9.647160748
Hu pH 9 | NaFeHCF,Lin,100,7.164896,-5.046567966
Hu pH 9 | NaFeHCF,Log-Bayes,12,23.231594,37.67829504
Hu pH 9 | NaFeHCF,Log-Bayes,24,12.315368,-6.509592085
Hu pH 9 | NaFeHCF,Log-Bayes,36,7.881026,-9.458019809
Hu pH 9 | NaFeHCF,Log-Bayes,48,7.45862,-9.105003037
Hu pH 9 | NaFeHCF,Log-Bayes,60,7.324864,-8.049122923
Hu pH 9 | NaFeHCF,Log-Bayes,72,7.249752,-6.823464451
Hu pH 9 | NaFeHCF,Log-Bayes,84,7.208852,-5.727637162
Hu pH 9 | NaFeHCF,Log-Bayes,96,7.18112,-4.71073514
Hu pH 9 | NaFeHCF,Log-Bayes,100,7.164896,-2.529607891
Hu pH 9 | NaMnHCF,SPI+CBU (ours),12,95.11804,66.04362976
Hu pH 9 | NaMnHCF,SPI+CBU (ours),24,89.984204,91.19163071
Hu pH 9 | NaMnHCF,SPI+CBU (ours),36,87.837626,86.26111841
Hu pH 9 | NaMnHCF,SPI+CBU (ours),48,85.901868,82.82360843
Hu pH 9 | NaMnHCF,SPI+CBU (ours),60,84.265786,79.93516721
Hu pH 9 | NaMnHCF,SPI+CBU (ours),72,82.016706,77.39269853
Hu pH 9 | NaMnHCF,SPI+CBU (ours),84,77.508386,74.9839968
Hu pH 9 | NaMnHCF,SPI+CBU (ours),96,71.325684,72.54681467
Hu pH 9 | NaMnHCF,SPI+CBU (ours),100,68.092302,71.5385751
Hu pH 9 | NaMnHCF,SPI+TBU,12,95.11804,66.04362976
Hu pH 9 | NaMnHCF,SPI+TBU,24,89.984204,90.15046492
Hu pH 9 | NaMnHCF,SPI+TBU,36,87.837626,85.66975659
Hu pH 9 | NaMnHCF,SPI+TBU,48,85.901868,83.06765583
Hu pH 9 | NaMnHCF,SPI+TBU,60,84.265786,81.81029483
Hu pH 9 | NaMnHCF,SPI+TBU,72,82.016706,80.76627862
Hu pH 9 | NaMnHCF,SPI+TBU,84,77.508386,79.5790896
Hu pH 9 | NaMnHCF,SPI+TBU,96,71.325684,77.07894601
Hu pH 9 | NaMnHCF,SPI+TBU,100,68.092302,74.22827582
Hu pH 9 | NaMnHCF,Lin,12,95.11804,64.54015313
Hu pH 9 | NaMnHCF,Lin,24,89.984204,90.17099633
Hu pH 9 | NaMnHCF,Lin,36,87.837626,85.32532113
Hu pH 9 | NaMnHCF,Lin,48,85.901868,81.87101068
Hu pH 9 | NaMnHCF,Lin,60,84.265786,79.95709431
Hu pH 9 | NaMnHCF,Lin,72,82.016706,78.54586324
Hu pH 9 | NaMnHCF,Lin,84,77.508386,77.22089734
Hu pH 9 | NaMnHCF,Lin,96,71.325684,75.03843633
Hu pH 9 | NaMnHCF,Lin,100,68.092302,73.26344849
Hu pH 9 | NaMnHCF,Log-Bayes,12,95.11804,97.0668921
Hu pH 9 | NaMnHCF,Log-Bayes,24,89.984204,93.96763417
Hu pH 9 | NaMnHCF,Log-Bayes,36,87.837626,89.33295691
Hu pH 9 | NaMnHCF,Log-Bayes,48,85.901868,87.01643524
Hu pH 9 | NaMnHCF,Log-Bayes,60,84.265786,85.4857008
Hu pH 9 | NaMnHCF,Log-Bayes,72,82.016706,84.04546084
Hu pH 9 | NaMnHCF,Log-Bayes,84,77.508386,82.66775199
Hu pH 9 | NaMnHCF,Log-Bayes,96,71.325684,80.85228592
Hu pH 9 | NaMnHCF,Log-Bayes,100,68.092302,78.77265823
Hu pH 9 | NaNiHCF,SPI+CBU (ours),12,66.718788,66.46553481
Hu pH 9 | NaNiHCF,SPI+CBU (ours),24,61.399048,50.69747869
Hu pH 9 | NaNiHCF,SPI+CBU (ours),36,55.079546,48.78058532
Hu pH 9 | NaNiHCF,SPI+CBU (ours),48,39.440682,45.06030387
Hu pH 9 | NaNiHCF,SPI+CBU (ours),60,29.040114,36.87204226
Hu pH 9 | NaNiHCF,SPI+CBU (ours),72,23.378074,27.44369304
Hu pH 9 | NaNiHCF,SPI+CBU (ours),84,17.010276,18.96766072
Hu pH 9 | NaNiHCF,SPI+CBU (ours),96,12.549366,11.363607
Hu pH 9 | NaNiHCF,SPI+CBU (ours),100,11.425476,10.26648628
Hu pH 9 | NaNiHCF,SPI+TBU,12,66.718788,66.46553481
Hu pH 9 | NaNiHCF,SPI+TBU,24,61.399048,54.7906677
Hu pH 9 | NaNiHCF,SPI+TBU,36,55.079546,54.86790083
Hu pH 9 | NaNiHCF,SPI+TBU,48,39.440682,54.4644617
Hu pH 9 | NaNiHCF,SPI+TBU,60,29.040114,43.00769214
Hu pH 9 | NaNiHCF,SPI+TBU,72,23.378074,28.6979323
Hu pH 9 | NaNiHCF,SPI+TBU,84,17.010276,17.90699243
Hu pH 9 | NaNiHCF,SPI+TBU,96,12.549366,9.863734826
Hu pH 9 | NaNiHCF,SPI+TBU,100,11.425476,8.29254199
Hu pH 9 | NaNiHCF,Lin,12,66.718788,64.9741386
Hu pH 9 | NaNiHCF,Lin,24,61.399048,71.21753023
Hu pH 9 | NaNiHCF,Lin,36,55.079546,59.81666038
Hu pH 9 | NaNiHCF,Lin,48,39.440682,51.936938
Hu pH 9 | NaNiHCF,Lin,60,29.040114,38.36334151
Hu pH 9 | NaNiHCF,Lin,72,23.378074,24.17626218
Hu pH 9 | NaNiHCF,Lin,84,17.010276,13.31822755
Hu pH 9 | NaNiHCF,Lin,96,12.549366,4.890181832
Hu pH 9 | NaNiHCF,Lin,100,11.425476,4.148213044
Hu pH 9 | NaNiHCF,Log-Bayes,12,66.718788,70.45725369
Hu pH 9 | NaNiHCF,Log-Bayes,24,61.399048,53.00105253
Hu pH 9 | NaNiHCF,Log-Bayes,36,55.079546,53.66988188
Hu pH 9 | NaNiHCF,Log-Bayes,48,39.440682,52.57155119
Hu pH 9 | NaNiHCF,Log-Bayes,60,29.040114,44.44445613
Hu pH 9 | NaNiHCF,Log-Bayes,72,23.378074,35.62394653
Hu pH 9 | NaNiHCF,Log-Bayes,84,17.010276,28.37278225
Hu pH 9 | NaNiHCF,Log-Bayes,96,12.549366,22.25374098
Hu pH 9 | NaNiHCF,Log-Bayes,100,11.425476,18.81971592
KCl | KCuHCF,SPI+CBU (ours),12,87.507074,66.16513215
KCl | KCuHCF,SPI+CBU (ours),24,80.720986,85.46880826
KCl | KCuHCF,SPI+CBU (ours),36,79.424906,77.64518033
KCl | KCuHCF,SPI+CBU (ours),48,78.307392,74.81809248
KCl | KCuHCF,SPI+CBU (ours),60,75.740018,72.82310799
KCl | KCuHCF,SPI+CBU (ours),72,73.779256,70.83166207
KCl | KCuHCF,SPI+CBU (ours),84,70.424538,68.85849971
KCl | KCuHCF,SPI+CBU (ours),96,66.322104,66.91070285
KCl | KCuHCF,SPI+CBU (ours),100,65.37072,66.21984468
KCl | KCuHCF,SPI+TBU,12,87.507074,66.16513215
KCl | KCuHCF,SPI+TBU,24,80.720986,82.87145519
KCl | KCuHCF,SPI+TBU,36,79.424906,74.64751895
KCl | KCuHCF,SPI+TBU,48,78.307392,73.32149548
KCl | KCuHCF,SPI+TBU,60,75.740018,73.9844398
KCl | KCuHCF,SPI+TBU,72,73.779256,73.77666668
KCl | KCuHCF,SPI+TBU,84,70.424538,72.95755432
KCl | KCuHCF,SPI+TBU,96,66.322104,70.77793833
KCl | KCuHCF,SPI+TBU,100,65.37072,68.31003385
KCl | KCuHCF,Lin,12,87.507074,64.67016254
KCl | KCuHCF,Lin,24,80.720986,87.06368123
KCl | KCuHCF,Lin,36,79.424906,77.33229661
KCl | KCuHCF,Lin,48,78.307392,72.00201056
KCl | KCuHCF,Lin,60,75.740018,69.94658113
KCl | KCuHCF,Lin,72,73.779256,68.59623515
KCl | KCuHCF,Lin,84,70.424538,67.47295908
KCl | KCuHCF,Lin,96,66.322104,65.65084061
KCl | KCuHCF,Lin,100,65.37072,64.94855051
KCl | KCuHCF,Log-Bayes,12,87.507074,95.58602752
KCl | KCuHCF,Log-Bayes,24,80.720986,85.39816752
KCl | KCuHCF,Log-Bayes,36,79.424906,76.92117831
KCl | KCuHCF,Log-Bayes,48,78.307392,75.40686283
KCl | KCuHCF,Log-Bayes,60,75.740018,74.82358941
KCl | KCuHCF,Log-Bayes,72,73.779256,73.86583273
KCl | KCuHCF,Log-Bayes,84,70.424538,72.79669361
KCl | KCuHCF,Log-Bayes,96,66.322104,71.3056429
KCl | KCuHCF,Log-Bayes,100,65.37072,69.9094038
KCl | KFeHCF,SPI+CBU (ours),12,71.572882,66.61283305
KCl | KFeHCF,SPI+CBU (ours),24,44.978978,59.35618153
KCl | KFeHCF,SPI+CBU (ours),36,30.002002,40.96935907
KCl | KFeHCF,SPI+CBU (ours),48,21.632402,27.13256164
KCl | KFeHCF,SPI+CBU (ours),60,19.182826,19.03298791
KCl | KFeHCF,SPI+CBU (ours),72,13.863612,12.81206623
KCl | KFeHCF,SPI+CBU (ours),84,10.875666,8.108377526
KCl | KFeHCF,SPI+CBU (ours),96,8.96407,4.794053345
KCl | KFeHCF,SPI+CBU (ours),100,7.859432,6.85648037
KCl | KFeHCF,SPI+TBU,12,71.572882,66.61283305
KCl | KFeHCF,SPI+TBU,24,44.978978,65.93242458
KCl | KFeHCF,SPI+TBU,36,30.002002,43.44519536
KCl | KFeHCF,SPI+TBU,48,21.632402,24.93922868
KCl | KFeHCF,SPI+TBU,60,19.182826,13.91284642
KCl | KFeHCF,SPI+TBU,72,13.863612,7.429385238
KCl | KFeHCF,SPI+TBU,84,10.875666,5.37348238
KCl | KFeHCF,SPI+TBU,96,8.96407,3.750388336
KCl | KFeHCF,SPI+TBU,100,7.859432,5.074413993
KCl | KFeHCF,Lin,12,71.572882,65.15554013
KCl | KFeHCF,Lin,24,44.978978,78.36087815
KCl | KFeHCF,Lin,36,30.002002,55.02471718
KCl | KFeHCF,Lin,48,21.632402,29.07816761
KCl | KFeHCF,Lin,60,19.182826,10.22995825
KCl | KFeHCF,Lin,72,13.863612,-1.737322093
KCl | KFeHCF,Lin,84,10.875666,-7.719941891
KCl | KFeHCF,Lin,96,8.96407,-11.59110972
KCl | KFeHCF,Lin,100,7.859432,-7.548869378
KCl | KFeHCF,Log-Bayes,12,71.572882,85.18864143
KCl | KFeHCF,Log-Bayes,24,44.978978,65.73415138
KCl | KFeHCF,Log-Bayes,36,30.002002,42.58285836
KCl | KFeHCF,Log-Bayes,48,21.632402,26.7389875
KCl | KFeHCF,Log-Bayes,60,19.182826,17.71024921
KCl | KFeHCF,Log-Bayes,72,13.863612,11.38619955
KCl | KFeHCF,Log-Bayes,84,10.875666,7.51896135
KCl | KFeHCF,Log-Bayes,96,8.96407,4.378610389
KCl | KFeHCF,Log-Bayes,100,7.859432,4.202603573
KCl | KMnHCF,SPI+CBU (ours),12,19.624832,67.22892848
KCl | KMnHCF,SPI+CBU (ours),24,15.133422,-2.983858664
KCl | KMnHCF,SPI+CBU (ours),36,13.977448,8.27496328
KCl | KMnHCF,SPI+CBU (ours),48,13.640092,18.28568479
KCl | KMnHCF,SPI+CBU (ours),60,13.812162,16.36269581
KCl | KMnHCF,SPI+CBU (ours),72,14.404594,15.02132431
KCl | KMnHCF,SPI+CBU (ours),84,15.221714,15.40460896
KCl | KMnHCF,SPI+CBU (ours),96,16.386208,16.21589737
KCl | KMnHCF,SPI+CBU (ours),100,16.820904,16.71559445
KCl | KMnHCF,SPI+TBU,12,19.624832,67.22892848
KCl | KMnHCF,SPI+TBU,24,15.133422,-2.983858664
KCl | KMnHCF,SPI+TBU,36,13.977448,1.330290538
KCl | KMnHCF,SPI+TBU,48,13.640092,9.61673995
KCl | KMnHCF,SPI+TBU,60,13.812162,16.65954769
KCl | KMnHCF,SPI+TBU,72,14.404594,20.85520854
KCl | KMnHCF,SPI+TBU,84,15.221714,23.08091733
KCl | KMnHCF,SPI+TBU,96,16.386208,24.39637174
KCl | KMnHCF,SPI+TBU,100,16.820904,22.35119602
KCl | KMnHCF,Lin,12,19.624832,65.78121701
KCl | KMnHCF,Lin,24,15.133422,39.04370083
KCl | KMnHCF,Lin,36,13.977448,14.48851482
KCl | KMnHCF,Lin,48,13.640092,2.282277455
KCl | KMnHCF,Lin,60,13.812162,-1.940339164
KCl | KMnHCF,Lin,72,14.404594,-2.04500387
KCl | KMnHCF,Lin,84,15.221714,-0.472408242
KCl | KMnHCF,Lin,96,16.386208,1.657898532
KCl | KMnHCF,Lin,100,16.820904,5.949959128
KCl | KMnHCF,Log-Bayes,12,19.624832,26.60133595
KCl | KMnHCF,Log-Bayes,24,15.133422,-13.16978956
KCl | KMnHCF,Log-Bayes,36,13.977448,-7.513727895
KCl | KMnHCF,Log-Bayes,48,13.640092,-3.191432952
KCl | KMnHCF,Log-Bayes,60,13.812162,-0.565151333
KCl | KMnHCF,Log-Bayes,72,14.404594,1.261063094
KCl | KMnHCF,Log-Bayes,84,15.221714,2.863178329
KCl | KMnHCF,Log-Bayes,96,16.386208,4.294977571
KCl | KMnHCF,Log-Bayes,100,16.820904,6.606422425
KCl | KNiHCF,SPI+CBU (ours),12,98.804966,65.99401109
KCl | KNiHCF,SPI+CBU (ours),24,96.21862,97.80943555
KCl | KNiHCF,SPI+CBU (ours),36,92.761628,94.5984584
KCl | KNiHCF,SPI+CBU (ours),48,89.004118,91.54114522
KCl | KNiHCF,SPI+CBU (ours),60,85.237496,88.33914387
KCl | KNiHCF,SPI+CBU (ours),72,82.541412,85.03280194
KCl | KNiHCF,SPI+CBU (ours),84,81.3576,81.66808277
KCl | KNiHCF,SPI+CBU (ours),96,80.320904,78.75690964
KCl | KNiHCF,SPI+CBU (ours),100,80.26115,79.80562784
KCl | KNiHCF,SPI+TBU,12,98.804966,65.99401109
KCl | KNiHCF,SPI+TBU,24,96.21862,95.45747817
KCl | KNiHCF,SPI+TBU,36,92.761628,92.74729178
KCl | KNiHCF,SPI+TBU,48,89.004118,89.40719385
KCl | KNiHCF,SPI+TBU,60,85.237496,85.69762681
KCl | KNiHCF,SPI+TBU,72,82.541412,81.83846582
KCl | KNiHCF,SPI+TBU,84,81.3576,78.18499265
KCl | KNiHCF,SPI+TBU,96,80.320904,75.95288581
KCl | KNiHCF,SPI+TBU,100,80.26115,76.71724078
KCl | KNiHCF,Lin,12,98.804966,64.48890519
KCl | KNiHCF,Lin,24,96.21862,91.37138009
KCl | KNiHCF,Lin,36,92.761628,89.90837514
KCl | KNiHCF,Lin,48,89.004118,88.13000361
KCl | KNiHCF,Lin,60,85.237496,85.67331641
KCl | KNiHCF,Lin,72,82.541412,82.57536652
KCl | KNiHCF,Lin,84,81.3576,79.25365123
KCl | KNiHCF,Lin,96,80.320904,76.77313545
KCl | KNiHCF,Lin,100,80.26115,76.91756584
KCl | KNiHCF,Log-Bayes,12,98.804966,98.81876157
KCl | KNiHCF,Log-Bayes,24,96.21862,100.5708278
KCl | KNiHCF,Log-Bayes,36,92.761628,97.31150456
KCl | KNiHCF,Log-Bayes,48,89.004118,94.73135048
KCl | KNiHCF,Log-Bayes,60,85.237496,91.92301051
KCl | KNiHCF,Log-Bayes,72,82.541412,89.03133731
KCl | KNiHCF,Log-Bayes,84,81.3576,86.21229182
KCl | KNiHCF,Log-Bayes,96,80.320904,83.97443919
KCl | KNiHCF,Log-Bayes,100,80.26115,82.73848155
KCl | NaCoHCF,SPI+CBU (ours),12,93.76594,66.01635558
KCl | NaCoHCF,SPI+CBU (ours),24,94.57773,94.30347898
KCl | NaCoHCF,SPI+CBU (ours),36,92.453602,91.08578854
KCl | NaCoHCF,SPI+CBU (ours),48,90.12649,89.21915143
KCl | NaCoHCF,SPI+CBU (ours),60,88.240694,86.89139612
KCl | NaCoHCF,SPI+CBU (ours),72,84.291224,84.53153137
KCl | NaCoHCF,SPI+CBU (ours),84,82.214412,81.86483186
KCl | NaCoHCF,SPI+CBU (ours),96,79.897224,79.25935505
KCl | NaCoHCF,SPI+CBU (ours),100,79.256302,79.19862956
KCl | NaCoHCF,SPI+TBU,12,93.76594,66.01635558
KCl | NaCoHCF,SPI+TBU,24,94.57773,89.54042394
KCl | NaCoHCF,SPI+TBU,36,92.453602,88.77463435
KCl | NaCoHCF,SPI+TBU,48,90.12649,88.59921483
KCl | NaCoHCF,SPI+TBU,60,88.240694,87.46509774
KCl | NaCoHCF,SPI+TBU,72,84.291224,85.79383642
KCl | NaCoHCF,SPI+TBU,84,82.214412,82.83390576
KCl | NaCoHCF,SPI+TBU,96,79.897224,80.0355688
KCl | NaCoHCF,SPI+TBU,100,79.256302,78.99330862
KCl | NaCoHCF,Lin,12,93.76594,64.51129545
KCl | NaCoHCF,Lin,24,94.57773,89.76074303
KCl | NaCoHCF,Lin,36,92.453602,87.13658738
KCl | NaCoHCF,Lin,48,90.12649,86.49980018
KCl | NaCoHCF,Lin,60,88.240694,85.71386519
KCl | NaCoHCF,Lin,72,84.291224,84.46120184
KCl | NaCoHCF,Lin,84,82.214412,82.14631869
KCl | NaCoHCF,Lin,96,79.897224,79.7360207
KCl | NaCoHCF,Lin,100,79.256302,78.88965947
KCl | NaCoHCF,Log-Bayes,12,93.76594,95.98476661
KCl | NaCoHCF,Log-Bayes,24,94.57773,93.3378306
KCl | NaCoHCF,Log-Bayes,36,92.453602,92.53915201
KCl | NaCoHCF,Log-Bayes,48,90.12649,92.23812538
KCl | NaCoHCF,Log-Bayes,60,88.240694,90.99010637
KCl | NaCoHCF,Log-Bayes,72,84.291224,89.4609074
KCl | NaCoHCF,Log-Bayes,84,82.214412,87.43705872
KCl | NaCoHCF,Log-Bayes,96,79.897224,85.44137731
KCl | NaCoHCF,Log-Bayes,100,79.256302,83.89289398
KCl | NaFeHCF,SPI+CBU (ours),12,37.3101,67.03020785
KCl | NaFeHCF,SPI+CBU (ours),24,26.12488,19.70843668
KCl | NaFeHCF,SPI+CBU (ours),36,22.767382,19.91514403
KCl | NaFeHCF,SPI+CBU (ours),48,20.81787,21.21752819
KCl | NaFeHCF,SPI+CBU (ours),60,18.101416,19.54855662
KCl | NaFeHCF,SPI+CBU (ours),72,16.851096,17.80079291
KCl | NaFeHCF,SPI+CBU (ours),84,16.169504,16.46612537
KCl | NaFeHCF,SPI+CBU (ours),96,15.376076,15.36643927
KCl | NaFeHCF,SPI+CBU (ours),100,15.510356,15.56008483
KCl | NaFeHCF,SPI+TBU,12,37.3101,67.03020785
KCl | NaFeHCF,SPI+TBU,24,26.12488,19.70843668
KCl | NaFeHCF,SPI+TBU,36,22.767382,17.7955351
KCl | NaFeHCF,SPI+TBU,48,20.81787,19.25322934
KCl | NaFeHCF,SPI+TBU,60,18.101416,21.88580434
KCl | NaFeHCF,SPI+TBU,72,16.851096,21.50518713
KCl | NaFeHCF,SPI+TBU,84,16.169504,20.89088955
KCl | NaFeHCF,SPI+TBU,96,15.376076,20.3386565
