material,threshold,replicate,method,cycle,actual,pred_retention
KCoHCF,90.0,1,SPI+CBU (ours),57.0,99.48056541909092,98.77284972264424
KCoHCF,90.0,1,SPI+CBU (ours),114.0,99.24522201454546,98.70752820527667
KCoHCF,90.0,1,SPI+CBU (ours),171.0,98.97683184,99.2216114295506
KCoHCF,90.0,1,SPI+CBU (ours),228.0,98.47204389272726,98.55874214832156
KCoHCF,90.0,1,SPI+CBU (ours),285.0,98.39312995363638,98.13146054439034
KCoHCF,90.0,1,SPI+CBU (ours),342.0,98.07300677727272,97.79415481201956
KCoHCF,90.0,1,SPI+CBU (ours),399.0,97.54485612272724,97.4834381430154
KCoHCF,90.0,1,SPI+CBU (ours),456.0,97.04506017,97.15212590945754
KCoHCF,90.0,1,SPI+CBU (ours),513.0,96.59127901090908,96.67786039049344
KCoHCF,90.0,1,SPI+CBU (ours),570.0,96.56071154545454,96.24453513303214
KCoHCF,90.0,1,SPI+CBU (ours),627.0,96.20228496545457,95.87786614547852
KCoHCF,90.0,1,SPI+CBU (ours),684.0,96.13880242909092,95.55732910251592
KCoHCF,90.0,1,SPI+CBU (ours),741.0,95.78585691,95.23374913355256
KCoHCF,90.0,1,SPI+CBU (ours),798.0,95.32307399727272,95.29718724685549
KCoHCF,90.0,1,SPI+CBU (ours),855.0,94.78559540818182,94.8340617912986
KCoHCF,90.0,1,SPI+CBU (ours),912.0,94.35167760090908,94.23092467766313
KCoHCF,90.0,1,SPI+CBU (ours),969.0,94.04657512454546,93.82748606274944
KCoHCF,90.0,1,SPI+CBU (ours),1026.0,93.46200091,93.36293027790218
KCoHCF,90.0,1,SPI+CBU (ours),1083.0,92.80994333363635,92.88116777767624
KCoHCF,90.0,1,SPI+CBU (ours),1140.0,92.5538053018182,92.18846819337868
KCoHCF,90.0,1,SPI+CBU (ours),1197.0,91.41794848545454,91.84031154724292
KCoHCF,90.0,1,SPI+CBU (ours),1254.0,90.87398984636364,91.10310843314538
KCoHCF,90.0,1,SPI+CBU (ours),1311.0,90.70826439272729,90.34290370486278
KCoHCF,90.0,1,SPI+CBU (ours),1367.0,90.00467499909091,89.90341270366565
KCoHCF,90.0,1,SPI+TBU,57.0,99.48056541909092,98.77284972264424
KCoHCF,90.0,1,SPI+TBU,114.0,99.24522201454546,98.74911710954342
KCoHCF,90.0,1,SPI+TBU,171.0,98.97683184,98.72417188542693
KCoHCF,90.0,1,SPI+TBU,228.0,98.47204389272726,98.43273295958528
KCoHCF,90.0,1,SPI+TBU,285.0,98.39312995363638,98.0222666752795
KCoHCF,90.0,1,SPI+TBU,342.0,98.07300677727272,97.65450413944552
KCoHCF,90.0,1,SPI+TBU,399.0,97.54485612272724,97.34353655062507
KCoHCF,90.0,1,SPI+TBU,456.0,97.04506017,97.0712546558977
KCoHCF,90.0,1,SPI+TBU,513.0,96.59127901090908,96.60992047681276
KCoHCF,90.0,1,SPI+TBU,570.0,96.56071154545454,96.20991738550882
KCoHCF,90.0,1,SPI+TBU,627.0,96.20228496545457,95.92614890348597
KCoHCF,90.0,1,SPI+TBU,684.0,96.13880242909092,95.72358258483143
KCoHCF,90.0,1,SPI+TBU,741.0,95.78585691,95.5421460631226
KCoHCF,90.0,1,SPI+TBU,798.0,95.32307399727272,95.34352611560412
KCoHCF,90.0,1,SPI+TBU,855.0,94.78559540818182,95.10452201171358
KCoHCF,90.0,1,SPI+TBU,912.0,94.35167760090908,94.61569690204608
KCoHCF,90.0,1,SPI+TBU,969.0,94.04657512454546,94.20193018459103
KCoHCF,90.0,1,SPI+TBU,1026.0,93.46200091,93.76054808388312
KCoHCF,90.0,1,SPI+TBU,1083.0,92.80994333363635,93.31487637470248
KCoHCF,90.0,1,SPI+TBU,1140.0,92.5538053018182,92.58992179036254
KCoHCF,90.0,1,SPI+TBU,1197.0,91.41794848545454,92.21629336446831
KCoHCF,90.0,1,SPI+TBU,1254.0,90.87398984636364,91.45238226616053
KCoHCF,90.0,1,SPI+TBU,1311.0,90.70826439272729,90.57854747331712
KCoHCF,90.0,1,SPI+TBU,1367.0,90.00467499909091,90.02613988491319
KCoHCF,90.0,1,Lin,57.0,99.48056541909092,98.19949552005842
KCoHCF,90.0,1,Lin,114.0,99.24522201454546,98.47280035551834
KCoHCF,90.0,1,Lin,171.0,98.97683184,98.36240142204424
KCoHCF,90.0,1,Lin,228.0,98.47204389272726,98.12770113417837
KCoHCF,90.0,1,Lin,285.0,98.39312995363638,97.839266827137
KCoHCF,90.0,1,Lin,342.0,98.07300677727272,97.60449543971605
KCoHCF,90.0,1,Lin,399.0,97.54485612272724,97.41628694573278
KCoHCF,90.0,1,Lin,456.0,97.04506017,97.21751702211752
KCoHCF,90.0,1,Lin,513.0,96.59127901090908,96.79059007969047
