material,threshold,replicate,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,1,Lin,1311.0,56.459753727469206,80.0,,
KCoHCF,90.0,1,Lin,1367.0,0.4597537274692058,14.0,,
KCoHCF,90.0,2,SPI+CBU (ours),50.0,1158.4244643893228,1294.0,1126.9278940631157,1461.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),100.0,1108.4244643893228,1276.0,1108.9278940631157,1443.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),150.0,1058.4244643893228,1232.0,1116.0476578057785,1347.9523421942215
KCoHCF,90.0,2,SPI+CBU (ours),200.0,1008.4244643893228,1182.0,1014.9278940631156,1349.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),250.0,958.4244643893228,1132.0,964.9278940631156,1299.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),300.0,908.4244643893228,1082.0,914.9278940631156,1249.0721059368843
KCoHCF,90.0,2,SPI+CBU (ours),350.0,858.4244643893228,922.0,781.8721096989921,1062.127890301008
KCoHCF,90.0,2,SPI+CBU (ours),400.0,808.4244643893228,901.0,757.3596691769351,1044.640330823065
KCoHCF,90.0,2,SPI+CBU (ours),450.0,758.4244643893228,843.5,695.7002001376571,991.2997998623428
KCoHCF,90.0,2,SPI+CBU (ours),500.0,708.4244643893228,790.5,648.8007547285981,932.199245271402
KCoHCF,90.0,2,SPI+CBU (ours),550.0,658.4244643893228,742.5,603.8510320240687,881.1489679759313
KCoHCF,90.0,2,SPI+CBU (ours),600.0,608.4244643893228,714.0,593.290235197158,834.709764802842
KCoHCF,90.0,2,SPI+CBU (ours),650.0,558.4244643893228,669.0,546.9889081811805,791.0110918188195
KCoHCF,90.0,2,SPI+CBU (ours),700.0,508.4244643893228,616.0,498.6105404470448,733.3894595529553
KCoHCF,90.0,2,SPI+CBU (ours),750.0,458.4244643893228,555.0,430.95538998420005,679.0446100158
KCoHCF,90.0,2,SPI+CBU (ours),800.0,408.4244643893228,516.0,397.6862139938719,634.3137860061281
KCoHCF,90.0,2,SPI+CBU (ours),850.0,358.4244643893228,436.0,300.1240113835873,571.8759886164128
KCoHCF,90.0,2,SPI+CBU (ours),900.0,308.4244643893228,381.0,241.6850560000784,520.3149439999215
KCoHCF,90.0,2,SPI+CBU (ours),950.0,258.4244643893228,328.5,192.76266035156328,464.2373396484368
KCoHCF,90.0,2,SPI+CBU (ours),1000.0,208.4244643893228,309.0,200.6227233654804,417.37727663451966
KCoHCF,90.0,2,SPI+CBU (ours),1050.0,158.4244643893228,232.0,112.57702225006447,351.4229777499355
KCoHCF,90.0,2,SPI+CBU (ours),1100.0,108.4244643893228,174.0,51.98890818118042,296.0110918188196
KCoHCF,90.0,2,SPI+CBU (ours),1150.0,58.42446438932279,125.0,4.8375610875261685,245.16243891247385
KCoHCF,90.0,2,SPI+CBU (ours),1200.0,8.424464389322793,44.0,0.0,181.72464152275847
KCoHCF,90.0,2,SPI+CBU (ours),1208.0,0.424464389322793,31.5,0.0,171.6278903010079
KCoHCF,90.0,2,SPI+TBU,50.0,1158.4244643893228,1294.0,,
KCoHCF,90.0,2,SPI+TBU,100.0,1108.4244643893228,1285.0,,
KCoHCF,90.0,2,SPI+TBU,150.0,1058.4244643893228,1267.0,,
KCoHCF,90.0,2,SPI+TBU,200.0,1008.4244643893228,1216.0,,
KCoHCF,90.0,2,SPI+TBU,250.0,958.4244643893228,1107.0,,
KCoHCF,90.0,2,SPI+TBU,300.0,908.4244643893228,934.0,,
KCoHCF,90.0,2,SPI+TBU,350.0,858.4244643893228,740.0,,
KCoHCF,90.0,2,SPI+TBU,400.0,808.4244643893228,613.0,,
KCoHCF,90.0,2,SPI+TBU,450.0,758.4244643893228,510.0,,
KCoHCF,90.0,2,SPI+TBU,500.0,708.4244643893228,481.0,,
KCoHCF,90.0,2,SPI+TBU,550.0,658.4244643893228,486.0,,
KCoHCF,90.0,2,SPI+TBU,600.0,608.4244643893228,545.0,,
KCoHCF,90.0,2,SPI+TBU,650.0,558.4244643893228,579.0,,
KCoHCF,90.0,2,SPI+TBU,700.0,508.4244643893228,593.0,,
KCoHCF,90.0,2,SPI+TBU,750.0,458.4244643893228,552.0,,
KCoHCF,90.0,2,SPI+TBU,800.0,408.4244643893228,536.0,,
KCoHCF,90.0,2,SPI+TBU,850.0,358.4244643893228,459.0,,
KCoHCF,90.0,2,SPI+TBU,900.0,308.4244643893228,407.0,,
KCoHCF,90.0,2,SPI+TBU,950.0,258.4244643893228,355.0,,
KCoHCF,90.0,2,SPI+TBU,1000.0,208.4244643893228,325.0,,
KCoHCF,90.0,2,SPI+TBU,1050.0,158.4244643893228,256.0,,
KCoHCF,90.0,2,SPI+TBU,1100.0,108.4244643893228,191.0,,
KCoHCF,90.0,2,SPI+TBU,1150.0,58.42446438932279,136.5,,
KCoHCF,90.0,2,SPI+TBU,1200.0,8.424464389322793,55.0,,
