,trig,strict
acc,0.9109226190476191,0.9841269841269841
RUL_MAE,9.65355895718721,9.966148093918815
RUL_RMSE,16.159841682369482,18.63928982956263
track_RMSE,24.04134130689663,85.14209754450823
CI90_cov,66.07142857142857,72.22222222222221
CI90_width,20.10965023082526,21.620227255220076
