trajectory,method,cycle,actual_retention,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KCl | NaCoHCF,SPI+TBU,42,92.25076769,57.21920592,103.9879848,89.83656543,,
KCl | NaCoHCF,SPI+TBU,56,89.46770077,43.21920592,75,90.32015717,,
KCl | NaCoHCF,SPI+TBU,70,85.99577538,29.21920592,44.22503018,87.89617928,,
KCl | NaCoHCF,SPI+TBU,84,82.95049,15.21920592,18.7266401,84.79196811,,
KCl | NaCoHCF,SPI+TBU,98,80.18900462,1.219205916,2,80.85472206,,
KCl | NaCoHCF,SPI+TBU,99,80.03775923,0.219205916,1,80.18660409,,
KCl | NaCoHCF,Lin,14,95.61816846,85.21920592,55.9277601,95.11829925,,
KCl | NaCoHCF,Lin,28,94.24000154,71.21920592,51.84493365,91.75415437,,
KCl | NaCoHCF,Lin,42,92.25076769,57.21920592,65.60743894,89.20691885,,
KCl | NaCoHCF,Lin,56,89.46770077,43.21920592,57.47008864,88.9207289,,
KCl | NaCoHCF,Lin,70,85.99577538,29.21920592,41.97514137,87.06123595,,
KCl | NaCoHCF,Lin,84,82.95049,15.21920592,20.79070107,84.50324896,,
KCl | NaCoHCF,Lin,98,80.18900462,1.219205916,3.686617882,81.12913864,,
KCl | NaCoHCF,Lin,99,80.03775923,0.219205916,3,80.47497474,,
KHCO3 | KNiHCF,SPI+CBU (ours),14,97.64859615,49.55591164,60.72200055,95.12432009,38.65121558,82.79278551
KHCO3 | KNiHCF,SPI+CBU (ours),28,92.47375692,35.55591164,43.80739415,93.5320771,20.70420438,66.91058392
KHCO3 | KNiHCF,SPI+CBU (ours),42,87.26530538,21.55591164,20,88.07796421,0,48.32755804
KHCO3 | KNiHCF,SPI+CBU (ours),56,82.97362538,7.555911643,7.30693781,82.31382764,0,33.01290792
KHCO3 | KNiHCF,SPI+CBU (ours),63,80.20735462,0.555911643,1,80.02590721,0,24.78143485
KHCO3 | KNiHCF,SPI+TBU,14,97.64859615,49.55591164,62.22337122,95.12432009,,
KHCO3 | KNiHCF,SPI+TBU,28,92.47375692,35.55591164,43.80739415,93.58766913,,
KHCO3 | KNiHCF,SPI+TBU,42,87.26530538,21.55591164,18.83758736,89.13120279,,
KHCO3 | KNiHCF,SPI+TBU,56,82.97362538,7.555911643,6.888526565,81.9065262,,
KHCO3 | KNiHCF,SPI+TBU,63,80.20735462,0.555911643,0.30693781,79.90074202,,
