cycle,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
12,0.13151785714285716,0.15914093137518406,1.0,0.0
24,0.16375,0.18806732353553124,0.8924553571428572,0.13859972703586246
36,0.20839285714285713,0.26675509221152505,0.8455357142857143,0.1622937252229834
48,0.21901785714285715,0.28496557948900864,0.8492410714285714,0.15691262742718917
60,0.2682142857142857,0.3284667252712055,0.8482589285714285,0.14294064219653707
72,0.3345089285714286,0.38220485334285226,0.8670982142857142,0.13515376494412365
84,0.3530803571428572,0.39852454899616574,0.8436160714285714,0.16181493332231084
96,0.2520089285714286,0.3302799844081523,0.8719196428571429,0.23602628468390613
100,0.19647321428571432,0.2743802010423237,0.7706696428571428,0.24046758006369243
