trajectory,electrolyte,electrode,method,cycle,actual_retention,true_RUL,pred_RUL,RUL_lo90,RUL_hi90,pred_retention,retention_lo,retention_hi,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,SPI+TBU,100,1.379076,0,0,0,0,8.819477305,-3.238461572,20.87741618,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,12,10.113686,88,69.61940979,40.51750534,199.051265,65.9501687,13.93352478,117.9668126,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,24,4.152694,76,16.17062547,6.435889922,31.03969643,31.35267303,5.205198528,57.50014752,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,36,2.654604,64,0,0,9.732926623,4.408552846,-21.61433588,30.43144157,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,48,2.051286,52,0,0,0,-9.343974629,-35.33419104,16.64624179,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,60,1.740988,40,0,0,0,-14.48280491,-40.32253366,11.35692384,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,72,1.571346,28,0,0,0,-15.11390883,-40.76703697,10.53921932,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,84,1.465448,16,0,0,0,-14.10551251,-39.59184906,11.38082404,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,96,1.395282,4,0,0,0,-12.6982147,-38.04998078,12.65355138,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Lin,100,1.379076,0,0,0,0,-8.817459505,-33.92955941,16.2946404,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,12,10.113686,88,1.135926977,0.374316842,1.992044418,12.7744251,6.675543689,18.92907248,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,24,4.152694,76,-4,-6,-2,-27.1259989,-32.4372218,-22.07072599,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,36,2.654604,64,-10,-13,-7,-20.6812579,-27.25766526,-14.15824875,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,48,2.051286,52,-16,-19,-11,-16.15322648,-21.80460807,-10.75696179,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,60,1.740988,40,-22,-26,-16,-13.45747486,-18.07111024,-8.598008362,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,72,1.571346,28,-28,-32,-22,-11.65667894,-15.98657739,-7.45376922,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,84,1.465448,16,-34,-39,-27,-10.26793231,-13.96515756,-6.552807332,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,96,1.395282,4,-40,-46,-32,-9.235333575,-12.66004501,-5.816679656,,
Hu pH 7 | KCuHCF,Hu pH 7,KCuHCF,Log-Bayes,100,1.379076,0,-42,-48,-34,-7.301749332,-10.2064429,-4.411839781,,
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),12,59.119892,88,91,69.84776392,110.4887656,66.74922524,20.25441608,113.2440344,55.7498487,126.2501513
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),24,39.3366,76,68.92099476,57.12388196,92.34182659,46.36908544,33.50863935,59.22953153,38.37455581,99.46743372
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),36,29.833364,64,54,45.61940979,73.32127249,34.2837918,22.19257894,46.37500465,29.97266772,78.02733228
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),48,24.681244,52,41.76252837,32.91681064,58.7060256,26.64938472,14.78214003,38.51662942,19.39413951,64.13091723
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),60,21.821362,40,29.76252837,22.3281096,43.8397719,21.89017894,10.08879306,33.69156482,11.10429359,48.42076316
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),72,19.836824,28,19,11,33.2410888,18.59854152,6.818137108,30.37894594,0,38.29090606
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),84,17.2509,16,8,1.224981733,18.51499934,16.17599199,4.390774952,27.96120904,0,22.99657271
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),96,15.541366,4,3.575248158,0,13,14.2824083,2.493615942,26.07120066,0,14.85085526
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+CBU (ours),100,15.001066,0,7.816276008,1,24.93000371,14.94247963,2.987683281,26.89727598,0,28.57206983
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+TBU,12,59.119892,88,97.25490487,47.09208031,246.2049244,66.74922524,20.25441608,113.2440344,,
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+TBU,24,39.3366,76,57,35,114.0453614,49.13077401,35.02558303,63.23596499,,
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+TBU,36,29.833364,64,36.94280101,21.75714472,78.89353412,34.8394704,21.95159986,47.72734094,,
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+TBU,48,24.681244,52,24,11.78944042,54,25.36801333,12.6336658,38.10236086,,
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+TBU,60,21.821362,40,16.82642004,6.955650554,42.07158657,19.82345605,7.176134671,32.47077743,,
Hu pH 7 | KFeHCF,Hu pH 7,KFeHCF,SPI+TBU,72,19.836824,28,15,2.215022414,42.34745189,17.25484022,4.732531489,29.77714896,,
