material,replicate,cycle,pred_retention,ci_lo,ci_hi
KCoHCF,1,5001.0,86.6520512334085,86.59484782457898,86.70925464223802
KCoHCF,1,5028.501518737077,86.64167815179246,86.58445931558158,86.69889698800334
KCoHCF,1,5056.154273933426,86.63130505886564,86.57406976537186,86.68854035235941
KCoHCF,1,5083.959097269185,86.62093195468987,86.56367917489652,86.67818473448321
KCoHCF,1,5111.916824998055,86.61055883932666,86.55328754515638,86.66783013349693
KCoHCF,1,5140.028297972472,86.60018571283715,86.54289487720604,86.65747654846825
KCoHCF,1,5168.294361668885,86.5898125752822,86.5325011721538,86.64712397841059
KCoHCF,1,5196.715866213209,86.57943942672227,86.52210643116118,86.63677242228337
KCoHCF,1,5225.293666406355,86.56906626721755,86.51171065544276,86.62642187899235
KCoHCF,1,5254.028621749967,86.55869309682785,86.50131384626582,86.61607234738989
KCoHCF,1,5282.921596472255,86.54831991561272,86.49091600495008,86.60572382627537
KCoHCF,1,5311.973459554017,86.53794672363131,86.48051713286726,86.59537631439535
KCoHCF,1,5341.185084754731,86.52757352094248,86.47011723144084,86.58502981044413
KCoHCF,1,5370.557350638865,86.51720030760478,86.45971630214568,86.57468431306388
KCoHCF,1,5400.091140602299,86.50682708367643,86.44931434650759,86.56433982084526
KCoHCF,1,5429.787342898879,86.49645384921533,86.43891136610307,86.55399633232759
KCoHCF,1,5459.64685066714,86.48608060427904,86.42850736255873,86.54365384599934
KCoHCF,1,5489.670561957165,86.47570734892487,86.41810233755113,86.53331236029861
KCoHCF,1,5519.859379757612,86.46533408320974,86.40769629280612,86.52297187361336
KCoHCF,1,5550.2142120228455,86.45496080719032,86.3972892300986,86.51263238428204
KCoHCF,1,5580.735971700257,86.44458752092292,86.38688115125193,86.50229389059392
KCoHCF,1,5611.425576757718,86.43421422446359,86.37647205813762,86.49195639078955
KCoHCF,1,5642.283950211209,86.42384091786805,86.3660619526748,86.4816198830613
KCoHCF,1,5673.312020152549,86.4134676011917,86.3556508368297,86.4712843655537
KCoHCF,1,5704.5107197773195,86.40309427448966,86.34523871261528,86.46094983636404
KCoHCF,1,5735.880987412954,86.39272093781675,86.33482558209066,86.45061629354284
KCoHCF,1,5767.423766546923,86.38234759122747,86.32441144736066,86.44028373509428
KCoHCF,1,5799.140005855131,86.37197423477606,86.31399631057529,86.42995215897683
KCoHCF,1,5831.0306592304405,86.36160086851642,86.30358017392916,86.41962156310368
KCoHCF,1,5863.096685811383,86.35122749250218,86.29316303966108,86.40929194534327
KCoHCF,1,5895.339050010969,86.34085410678665,86.28274491005341,86.39896330351989
KCoHCF,1,5927.7587215457215,86.3304807114229,86.27232578743163,86.38863563541416
KCoHCF,1,5960.356675464823,86.32010730646365,86.26190567416367,86.37830893876364
KCoHCF,1,5993.13389217947,86.3097338919614,86.25148457265946,86.36798321126334
KCoHCF,1,6026.091357492324,86.2993604679683,86.24106248537028,86.35765845056632
KCoHCF,1,6059.230062627173,86.28898703453623,86.23063941478823,86.34733465428424
KCoHCF,1,6092.551004258766,86.27861359171682,86.22021536344567,86.33701181998796
KCoHCF,1,6126.055184542753,86.26824013956137,86.20979033391464,86.3266899452081
KCoHCF,1,6159.7436111458455,86.25786667812093,86.19936432880617,86.3163690274357
KCoHCF,1,6193.617297276115,86.2474932074463,86.18893735076986,86.30604906412273
KCoHCF,1,6227.677261713492,86.2371197275879,86.17850940249309,86.2957300526827
KCoHCF,1,6261.924528840362,86.22674623859601,86.1680804867006,86.28541199049141
KCoHCF,1,6296.360128672408,86.2163727405205,86.15765060615368,86.27509487488732
KCoHCF,1,6330.985096889571,86.20599923341109,86.14721976364979,86.2647787031724
KCoHCF,1,6365.800474867227,86.19562571731714,86.13678796202167,86.25446347261261
KCoHCF,1,6400.807309707469,86.18525219228778,86.126355204137,86.24414918043855
KCoHCF,1,6436.006654270617,86.17487865837187,86.11592149289756,86.23383582384618
KCoHCF,1,6471.399567206904,86.16450511561798,86.10548683123868,86.22352339999729
KCoHCF,1,6506.987112988278,86.15413156407445,86.09505122212863,86.21321190602026
KCoHCF,1,6542.770361940439,86.14375800378933,86.08461466856798,86.20290133901068
KCoHCF,1,6578.750390275024,86.13338443481042,86.07417717358892,86.19259169603193
KCoHCF,1,6614.928280121994,86.12301085718524,86.0637387402546,86.18228297411586
KCoHCF,1,6651.305119562145,86.11263727096107,86.05329937165867,86.17197517026348
KCoHCF,1,6687.882002659855,86.10226367618492,86.04285907092434,86.1616682814455
KCoHCF,1,6724.660029495982,86.09189007290357,86.03241784120405,86.15136230460308
KCoHCF,1,6761.640306200971,86.08151646116349,86.02197568567857,86.14105723664841
KCoHCF,1,6798.823944988085,86.07114284101094,86.01153260755652,86.13075307446536
KCoHCF,1,6836.212064186873,86.06076921249192,86.00108861007367,86.12044981491017
KCoHCF,1,6873.805788276828,86.05039557565217,85.99064369649227,86.11014745481208
KCoHCF,1,6911.606247921162,86.0400219305372,85.98019787010044,86.09984599097395
KCoHCF,1,6949.614580000846,86.02964827719222,85.9697511342115,86.08954542017294
KCoHCF,1,6987.83192764878,86.01927461566227,85.95930349216337,86.07924573916117
KCoHCF,1,7026.259440284208,86.00890094599208,85.94885494731788,86.06894694466628
KCoHCF,1,7064.898273647242,85.99852726822614,85.93840550306012,86.05864903339216
KCoHCF,1,7103.749589833654,85.98815358240876,85.92795516279789,86.04835200201963
KCoHCF,1,7142.81455732981,85.97777988858391,85.9175039299609,86.03805584720692
KCoHCF,1,7182.094351047839,85.9674061867954,85.90705180800032,86.02776056559048
KCoHCF,1,7221.5901523609355,85.95703247708677,85.89659880038798,86.01746615378556
KCoHCF,1,7261.303149138907,85.94665875950133,85.88614491061588,86.00717260838678
KCoHCF,1,7301.2345357838985,85.93628503408213,85.87569014219542,85.99687992596884
KCoHCF,1,7341.385513266331,85.92591130087202,85.8652344986569,85.98658810308713
KCoHCF,1,7381.757289160992,85.91553755991359,85.8547779835488,85.97629713627838
KCoHCF,1,7422.351077683362,85.9051638112492,85.8443206004372,85.96600702206119
KCoHCF,1,7463.1680997261665,85.89479005492099,85.83386235290517,85.9557177569368
KCoHCF,1,7504.209582896046,85.88441629097086,85.82340324455213,85.9454293373896
KCoHCF,1,7545.476761550508,85.8740425194405,85.81294327899325,85.93514175988774
KCoHCF,1,7586.970876835035,85.86366874037132,85.80248245985885,85.9248550208838
KCoHCF,1,7628.693176720444,85.85329495380458,85.79202079079379,85.91456911681537
KCoHCF,1,7670.644916040376,85.84292115978124,85.78155827545685,85.90428404410564
KCoHCF,1,7712.82735652906,85.8325473583421,85.77109491752017,85.89399979916402
KCoHCF,1,7755.241766859278,85.82217354952769,85.76063072066866,85.88371637838672
KCoHCF,1,7797.8894226804805,85.81179973337834,85.75016568859937,85.8734337781573
KCoHCF,1,7840.771606657185,85.80142590993415,85.73969982502094,85.86315199484737
KCoHCF,1,7883.88960850753,85.79105207923502,85.72923313365304,85.85287102481699
KCoHCF,1,7927.2447250421055,85.7806782413206,85.71876561822577,85.84259086441543
KCoHCF,1,7970.8382602029005,85.77030439623036,85.70829728247911,85.83231150998161
KCoHCF,1,8014.671525102555,85.75993054400354,85.69782813016235,85.82203295784473
KCoHCF,1,8058.745838063779,85.74955668467912,85.68735816503347,85.81175520432477
KCoHCF,1,8103.06252465903,85.73918281829594,85.6768873908588,85.8014782457331
KCoHCF,1,8147.622917750334,85.72880894489262,85.66641581141224,85.791202078373
KCoHCF,1,8192.428357529407,85.71843506450749,85.65594343047479,85.78092669854018
KCoHCF,1,8237.480191557943,85.70806117717876,85.64547025183413,85.7706521025234
KCoHCF,1,8282.779774808178,85.69768728294439,85.63499627928394,85.76037828660483
KCoHCF,1,8328.32846970359,85.68731338184213,85.62452151662347,85.75010524706079
KCoHCF,1,8374.127646159908,85.67693947390954,85.614045967657,85.73983298016208
KCoHCF,1,8420.178681626321,85.66656555918397,85.60356963619336,85.72956148217457
KCoHCF,1,8466.482961126876,85.65619163770256,85.59309252604535,85.71929074935977
KCoHCF,1,8513.041877302156,85.64581770950224,85.58261464102932,85.70902077797516
KCoHCF,1,8559.856830451145,85.63544377461977,85.57213598496472,85.69875156427483
KCoHCF,1,8606.929228573388,85.62506983309166,85.56165656167342,85.6884831045099
KCoHCF,1,8654.260487411282,85.61469588495427,85.55117637497949,85.67821539492905
KCoHCF,1,8701.852030492671,85.60432193024373,85.54069542870857,85.66794843177888
KCoHCF,1,8749.705289173708,85.59394796899598,85.53021372668744,85.65768221130452
KCoHCF,1,8797.821702681827,85.58357400124676,85.51973127274357,85.64741672974995
KCoHCF,1,8846.202718159084,85.57320002703163,85.50924807070467,85.63715198335859
KCoHCF,1,8894.849790705652,85.56282604638594,85.49876412439826,85.62688796837361
KCoHCF,1,8943.764383423622,85.55245205934484,85.48827943765123,85.61662468103846
KCoHCF,1,8992.94796746096,85.54207806594331,85.47779401428936,85.60636211759727
KCoHCF,1,9042.402022055776,85.53170406621615,85.46730785813699,85.59610027429531
