frac_pct,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
14.110171383388684,0.7594999999999998,0.286637401606978,0.7617499999999999,0.2814783517430781
19.16251424318935,0.7398587477247179,0.29041904291287324,0.7665333489887765,0.2729391313415111
24.214857102990017,0.7045028055038287,0.3035904008319494,0.798483682894479,0.20997797363831114
29.26719996279068,0.6409519180937997,0.31600790698178743,0.8351451790417169,0.1467557241646195
34.319542822591345,0.5682348259466632,0.33507464434579737,0.8700611151473723,0.10771858490275331
39.37188568239202,0.5359210943196485,0.366576847410787,0.9040377331683682,0.08678596030977909
44.42422854219268,0.5168296690550218,0.4111387948779096,0.9162442308342603,0.10836348885740343
49.47657140199334,0.5167953026656893,0.4362797029327816,0.9185784235558234,0.12860582694960818
54.528914261794014,0.5245685012588289,0.44365351391392827,0.9302468566109404,0.11589076787979814
59.581257121594675,0.5238092942039172,0.44226096731686126,0.9306907380307236,0.10151397101144159
64.63359998139534,0.5421896837996668,0.4232525095487835,0.9252970364905784,0.09941800940635163
69.68594284119601,0.5607070296310246,0.416340130053345,0.907364528552964,0.11222448586286347
74.73828570099667,0.5857443217913688,0.4127136578474072,0.9096633132095251,0.10222346227039876
79.79062856079734,0.6220758396611082,0.4146082692912161,0.9176791317332734,0.1055957529266608
84.842971420598,0.6476937420921663,0.4167323748172706,0.9320376710415179,0.1118103557334338
89.89531428039868,0.6628361241197485,0.40826599736373886,0.928085558915144,0.10548426995564464
94.94765714019934,0.6370030285612256,0.38501106749498004,0.8815983524820317,0.11920629178412485
100.0,0.6165,0.36870075942422464,0.8355,0.18436309283584934
