case,replicate,frac_pct,acc_noGM,acc_GM
KCoHCF 87%,3,45.8,0.0,1.0
KCoHCF 87%,3,49.9,0.0,0.528
KCoHCF 87%,3,54.1,0.0,0.535
KCoHCF 87%,3,58.2,0.0,0.61
KCoHCF 87%,3,62.4,0.0,0.7
KCoHCF 87%,3,66.6,0.0,0.77
KCoHCF 87%,3,70.7,0.118,0.738
KCoHCF 87%,3,74.9,0.468,0.738
KCoHCF 87%,3,79.0,0.582,0.762
KCoHCF 87%,3,83.2,0.445,0.762
KCoHCF 87%,3,87.4,0.265,0.682
KCoHCF 87%,3,91.5,0.17,0.688
KCoHCF 87%,3,95.7,0.158,1.0
KCoHCF 87%,3,99.8,0.035,1.0
KCoHCF 87%,3,100.0,0.0,0.0
Urea 90%,1,4.0,0.962,0.955
Urea 90%,1,8.1,0.958,0.955
Urea 90%,1,12.1,0.882,0.968
Urea 90%,1,16.2,0.905,0.935
Urea 90%,1,20.2,0.875,0.942
Urea 90%,1,24.3,0.85,0.952
Urea 90%,1,28.3,0.835,0.97
Urea 90%,1,32.3,0.818,0.968
Urea 90%,1,36.4,0.748,0.975
Urea 90%,1,40.4,0.702,0.95
Urea 90%,1,44.5,0.552,0.948
Urea 90%,1,48.5,0.472,0.932
Urea 90%,1,52.6,0.415,0.922
Urea 90%,1,56.6,0.548,0.94
Urea 90%,1,60.6,0.365,0.882
Urea 90%,1,64.7,0.195,0.792
Urea 90%,1,68.7,0.155,0.832
Urea 90%,1,72.8,0.308,0.92
Urea 90%,1,76.8,0.832,0.995
Urea 90%,1,80.9,0.99,1.0
Urea 90%,1,84.9,1.0,1.0
Urea 90%,1,88.9,1.0,1.0
Urea 90%,1,93.0,1.0,1.0
Urea 90%,1,97.0,0.982,0.82
Urea 90%,1,99.7,0.285,1.0
Urea 90%,2,4.5,0.98,0.972
Urea 90%,2,8.9,0.948,0.978
Urea 90%,2,13.4,0.945,0.962
Urea 90%,2,17.8,0.905,0.958
Urea 90%,2,22.3,0.88,0.978
Urea 90%,2,26.7,0.888,0.988
Urea 90%,2,31.2,0.872,0.978
Urea 90%,2,35.7,0.752,0.965
Urea 90%,2,40.1,0.402,0.902
Urea 90%,2,44.6,0.088,0.84
Urea 90%,2,49.0,0.01,0.77
Urea 90%,2,53.5,0.0,0.768
Urea 90%,2,58.0,0.0,0.835
Urea 90%,2,62.4,0.005,0.862
Urea 90%,2,66.9,0.002,0.895
Urea 90%,2,71.3,0.0,0.745
Urea 90%,2,75.8,0.0,0.74
Urea 90%,2,80.2,0.0,0.87
Urea 90%,2,84.7,0.0,0.898
Urea 90%,2,89.2,0.0,0.902
Urea 90%,2,93.6,0.015,0.908
Urea 90%,2,98.1,0.05,0.928
Urea 90%,2,99.6,0.1,0.948
Urea 90%,3,3.7,0.705,0.642
Urea 90%,3,7.4,0.642,0.915
Urea 90%,3,11.2,0.698,0.942
Urea 90%,3,14.9,0.74,0.988
Urea 90%,3,18.6,0.818,0.985
Urea 90%,3,22.3,0.892,0.995
Urea 90%,3,26.0,0.855,1.0
Urea 90%,3,29.8,0.675,0.998
Urea 90%,3,33.5,0.49,0.992
Urea 90%,3,37.2,0.395,0.968
Urea 90%,3,40.9,0.525,0.982
Urea 90%,3,44.6,0.685,0.978
Urea 90%,3,48.3,0.908,0.99
Urea 90%,3,52.1,0.955,0.995
Urea 90%,3,55.8,0.998,1.0
Urea 90%,3,59.5,1.0,1.0
Urea 90%,3,63.2,1.0,1.0
Urea 90%,3,66.9,1.0,1.0
Urea 90%,3,70.7,1.0,1.0
Urea 90%,3,74.4,1.0,1.0
Urea 90%,3,78.1,0.998,0.992
Urea 90%,3,81.8,0.978,0.968
