material,threshold,replicate,method,life,band_lo,band_hi,cycle,actual,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,57.0,99.48056541909092,1310.4597537274692,1154.5,98.77284972264424,987.4278940631156,1321.5721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,114.0,99.24522201454546,1253.4597537274692,1097.5,98.70752820527667,930.4278940631156,1264.5721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,171.0,98.97683184,1196.4597537274692,1134.5,99.2216114295506,967.4278940631156,1301.5721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,228.0,98.47204389272726,1139.4597537274692,1057.0,98.55874214832156,889.9278940631157,1224.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,285.0,98.39312995363638,1082.4597537274692,1031.0,98.13146054439034,863.9278940631157,1198.0721059368843
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,342.0,98.07300677727272,1025.4597537274692,1006.5,97.79415481201956,908.1054490597476,1104.8945509402524
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,399.0,97.54485612272724,968.4597537274692,960.0,97.4834381430154,880.7852229630845,1039.2147770369154
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,456.0,97.04506017,911.4597537274692,889.0,97.15212590945754,811.3565779334784,966.6434220665216
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,513.0,96.59127901090908,854.4597537274692,828.0,96.67786039049344,750.1831369008918,905.8168630991082
KCoHCF,90.0,1,SPI+CBU (ours),1367.5,1208.4,1389.2,570.0,96.56071154545454,797.4597537274692,787.5,96.24453513303214,720.9947116942116,854.0052883057884
